CD_STAT_SECTOR,prop_type,total_sales
11005A04-,apartments,40
11005A051,apartments,6
11005A093,apartments,10
11005A10-,apartments,33
11005A191,apartments,10
11005A20-,apartments,34
11005A211,apartments,63
11005A22-,apartments,4
11005A232,apartments,17
11005A242,apartments,25
11005A30-,apartments,158
11005_UNKNOWN,apartments,6
11007A00-,apartments,73
11007A01-,apartments,85
11007A020,apartments,2
11007A03-,apartments,270
11007A04-,apartments,367
11008A00-,apartments,237
11008A01-,apartments,277
11008A020,apartments,430
11008A03-,apartments,14
11008A04-,apartments,143
11008A0BJ,apartments,116
11008A10-,apartments,73
11008A11-,apartments,13
11008A12-,apartments,8
11008A20-,apartments,116
11008A21-,apartments,6
11008A283,apartments,38
11008A30-,apartments,87
11008A31-,apartments,77
11008A32-,apartments,10
11008A3MB,apartments,6
11008A40-,apartments,103
11008A49-,apartments,2
11008A500,apartments,63
11008A510,apartments,31
11008_UNKNOWN,apartments,3
11009A000,apartments,61
11009A01-,apartments,12
11009A20-,apartments,1
11009A21-,apartments,31
11009A222,apartments,1
11009B00-,apartments,40
11009B01-,apartments,2
11009B02-,apartments,2
11009B08-,apartments,1
11009B20-,apartments,4
11009C00-,apartments,79
11009C01-,apartments,82
11009C03-,apartments,165
11013A00-,apartments,112
11013A01-,apartments,129
11013A02-,apartments,694
11013A03-,apartments,1
11013A040,apartments,138
11013A050,apartments,51
11013A090,apartments,23
11013A101,apartments,129
11013A11-,apartments,27
11013A12-,apartments,2
11013A132,apartments,65
11013A142,apartments,78
11013A20-,apartments,38
11013A21-,apartments,21
11016A000,apartments,55
11016A010,apartments,75
11016A021,apartments,21
11016A042,apartments,127
11016A052,apartments,4
11016A101,apartments,23
11016A112,apartments,3
11016A180,apartments,5
11016A200,apartments,5
11016A300,apartments,12
11016A401,apartments,69
11016A412,apartments,8
11016A501,apartments,11
11016A592,apartments,5
11016_UNKNOWN,apartments,3
11018A000,apartments,42
11018A010,apartments,67
11018A021,apartments,118
11018A030,apartments,12
11018A042,apartments,12
11018A054,apartments,43
11018A101,apartments,67
11018A111,apartments,9
11018A122,apartments,48
11018A143,apartments,3
11018A170,apartments,1
11018A1MJ,apartments,18
11021A00-,apartments,93
11021A02-,apartments,7
11021A03-,apartments,6
11021A04-,apartments,4
11021A052,apartments,46
11021A062,apartments,5
11021A081,apartments,11
11021_UNKNOWN,apartments,1
11022A001,apartments,47
11022A02-,apartments,1
11022A032,apartments,20
11022A10-,apartments,98
11022A181,apartments,1
11022A201,apartments,51
11022A21-,apartments,32
11022A232,apartments,31
11022A2MA,apartments,1
11022A30-,apartments,32
11022A31-,apartments,18
11022A322,apartments,5
11022A401,apartments,26
11022_UNKNOWN,apartments,3
11023A00-,apartments,176
11023A01-,apartments,51
11023A02-,apartments,195
11023A03-,apartments,59
11023A04-,apartments,18
11023A050,apartments,41
11023A062,apartments,17
11023A08-,apartments,41
11023A10-,apartments,64
11023A11-,apartments,9
11023A122,apartments,2
11023A133,apartments,1
11023A200,apartments,13
11023A291,apartments,1
11023B30-,apartments,54
11023B31-,apartments,122
11023B32-,apartments,35
11023B330,apartments,137
11023B40-,apartments,38
11023_UNKNOWN,apartments,9
11024A00-,apartments,218
11024A01-,apartments,156
11024A02-,apartments,116
11024A03-,apartments,54
11024A04-,apartments,34
11024A05-,apartments,8
11024A10-,apartments,9
11024A111,apartments,1
11024A1MA,apartments,3
11024A1PA,apartments,7
11024A200,apartments,20
11024A210,apartments,98
11024A220,apartments,22
11024B00-,apartments,29
11024B08-,apartments,1
11024_UNKNOWN,apartments,10
11025A000,apartments,112
11025A01-,apartments,146
11025A02-,apartments,83
11025A042,apartments,31
11025A184,apartments,1
11025A19-,apartments,1
11025_UNKNOWN,apartments,10
11029A00-,apartments,606
11029A01-,apartments,77
11029A02-,apartments,124
11029A041,apartments,13
11029A07-,apartments,19
11029A10-,apartments,138
11029A11-,apartments,72
11029A12-,apartments,40
11029A13-,apartments,95
11029A14-,apartments,170
11029A172,apartments,9
11029A201,apartments,225
11029A211,apartments,1
11029A22-,apartments,14
11029A232,apartments,1
11029A242,apartments,134
11029A27-,apartments,15
11029A301,apartments,1
11029_UNKNOWN,apartments,8
11030A00-,apartments,240
11030A01-,apartments,31
11030A02-,apartments,16
11030A03-,apartments,53
11030A10-,apartments,93
11030_UNKNOWN,apartments,1
11035A000,apartments,59
11035A01-,apartments,31
11035A022,apartments,41
11035A10-,apartments,5
11035A20-,apartments,1
11035B00-,apartments,82
11035B010,apartments,13
11035B02-,apartments,13
11035B032,apartments,11
11035B043,apartments,7
11035C00-,apartments,39
11035C01-,apartments,39
11035D001,apartments,10
11035D10-,apartments,19
11037A02-,apartments,35
11037A080,apartments,7
