zone_police;secu_publiq;year
ZP BRUXELLES CAPITALE IXELLES;1704;2014
ZP MIDI;1340;2014
ZP BRUXELLES-OUEST;817;2014
ZP POLBRUNO;733;2014
ZP UCCLE-W-B-AUDERGHEM;450;2014
ZP MONTGOMERY;381;2014
