zone_police;cambriolage;year
ZP BRUXELLES CAPITALE IXELLES;1533;2024
ZP BRUXELLES-OUEST;845;2024
ZP MIDI;1026;2024
ZP MONTGOMERY;792;2024
ZP POLBRUNO;665;2024
ZP UCCLE-W-B-AUDERGHEM;1041;2024
