zone_police;armes;year
ZP BRUXELLES CAPITALE IXELLES;831;2024
ZP MIDI;411;2024
ZP POLBRUNO;320;2024
ZP BRUXELLES-OUEST;240;2024
ZP UCCLE-W-B-AUDERGHEM;212;2024
ZP MONTGOMERY;117;2024
