zone_police;degradat_prop;year
ZP BRUXELLES CAPITALE IXELLES;3570;2000
ZP MIDI;2113;2000
ZP POLBRUNO;1647;2000
ZP BRUXELLES-OUEST;1543;2000
ZP UCCLE-W-B-AUDERGHEM;1377;2000
ZP MONTGOMERY;1085;2000
