CD_STAT_SECTOR,MS_P50 (MEDIAN_PRICE),CD_YEAR,CD_TYPE_FR
11001A00-,266000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11001A01-,326500.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002C42-,148000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002D34-,274000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002E50-,308000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002E521,263750.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002E551,390000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002F61-,170000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002H40-,149000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002H83-,190000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002L000,180000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002L100,222500.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002L122,215500.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P01-,220000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P02-,205000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P03-,240000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P04-,240000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P05-,223000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P100,308000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P21-,310000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P23-,230000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q001,170000.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q012,175500.0,2013,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
