zone_police;coups_blessures
ZP BRUXELLES CAPITALE IXELLES;4240
ZP MIDI;2162
ZP POLBRUNO;1831
ZP BRUXELLES-OUEST;1659
ZP UCCLE-W-B-AUDERGHEM;881
ZP MONTGOMERY;764
