zone_police;degradat_prop;year
ZP BRUXELLES CAPITALE IXELLES;3815;2014
ZP MIDI;2222;2014
ZP BRUXELLES-OUEST;1729;2014
ZP POLBRUNO;1311;2014
ZP UCCLE-W-B-AUDERGHEM;1119;2014
ZP MONTGOMERY;1063;2014
