zone_police;alcool;year
ZP BRUXELLES CAPITALE IXELLES;733;2000
ZP MIDI;56;2000
ZP POLBRUNO;106;2000
ZP BRUXELLES-OUEST;121;2000
ZP UCCLE-W-B-AUDERGHEM;103;2000
ZP MONTGOMERY;59;2000
