zone_police;vol
ZP BRUXELLES CAPITALE IXELLES;36321
ZP MIDI;16935
ZP POLBRUNO;11436
ZP BRUXELLES-OUEST;10857
ZP UCCLE-W-B-AUDERGHEM;7519
ZP MONTGOMERY;7196
