zone_police;armes;year
ZP BRUXELLES CAPITALE IXELLES;599;2000
ZP MIDI;277;2000
ZP POLBRUNO;196;2000
ZP BRUXELLES-OUEST;158;2000
ZP UCCLE-W-B-AUDERGHEM;129;2000
ZP MONTGOMERY;129;2000
