zone_police;alcool;year
ZP BRUXELLES CAPITALE IXELLES;1209;2014
ZP MIDI;218;2014
ZP BRUXELLES-OUEST;338;2014
ZP POLBRUNO;99;2014
ZP UCCLE-W-B-AUDERGHEM;442;2014
ZP MONTGOMERY;118;2014
