CD_STAT_SECTOR,CD_TYPE_FR_RENAMED,MS_TRANSACTIONS
11002F65-,2-3 facades house,121
11002F65-,all houses,121
11002F65-,apartments,331
11002G51-,2-3 facades house,109
11002G51-,all houses,109
11002G51-,apartments,276
11002G522,2-3 facades house,103
11002G522,4 or + facades house,1
11002G522,all houses,104
11002G522,apartments,70
11002G53-,2-3 facades house,135
11002G53-,4 or + facades house,1
11002G53-,all houses,136
11002G53-,apartments,659
11002G54-,2-3 facades house,126
11002G54-,all houses,126
11002G54-,apartments,653
11002G552,2-3 facades house,12
11002G552,all houses,12
11002G552,apartments,134
11002G59-,2-3 facades house,5
11002G59-,all houses,5
11002G59-,apartments,21
11002G72-,2-3 facades house,22
11002G72-,all houses,22
11002G72-,apartments,297
11002G73-,apartments,292
11002G74-,2-3 facades house,9
11002G74-,4 or + facades house,83
11002G74-,all houses,92
11002G74-,apartments,63
11002G75-,2-3 facades house,3
11002G75-,4 or + facades house,6
11002G75-,all houses,9
11002G75-,apartments,10
11002G780,4 or + facades house,6
11002G780,all houses,6
11002G780,apartments,7
11002H40-,2-3 facades house,180
11002H40-,all houses,180
11002H40-,apartments,148
11002H41-,2-3 facades house,159
11002H41-,all houses,159
11002H41-,apartments,148
11002H43-,2-3 facades house,142
11002H43-,all houses,142
11002H43-,apartments,419
11002H44-,2-3 facades house,133
11002H44-,all houses,133
11002H44-,apartments,59
11002H83-,2-3 facades house,180
11002H83-,all houses,180
11002H83-,apartments,259
11002H84-,2-3 facades house,11
11002H84-,all houses,11
11002H84-,apartments,112
11002J072,apartments,149
11002J80-,2-3 facades house,2
11002J80-,all houses,2
11002J80-,apartments,34
11002J81-,2-3 facades house,64
11002J81-,all houses,64
11002J81-,apartments,5
11002J820,2-3 facades house,51
11002J820,all houses,51
11002J820,apartments,191
11002J83-,2-3 facades house,24
11002J83-,all houses,24
11002J83-,apartments,196
11002J84-,2-3 facades house,2
11002J84-,all houses,2
11002J84-,apartments,147
11002J85-,2-3 facades house,17
11002J85-,all houses,17
11002J85-,apartments,638
11002J873,apartments,1
11002J8AN,2-3 facades house,62
11002J8AN,all houses,62
11002J8AN,apartments,18
11002J901,2-3 facades house,52
11002J901,all houses,52
11002J912,2-3 facades house,74
11002J912,all houses,74
11002J912,apartments,49
11002J923,2-3 facades house,61
11002J923,all houses,61
11002J932,2-3 facades house,2
11002J932,all houses,2
11002J932,apartments,3
11002J94-,2-3 facades house,11
11002J94-,all houses,11
11002K171,apartments,1
11002K214,2-3 facades house,10
11002K214,all houses,10
11002K214,apartments,3
11002L000,2-3 facades house,266
11002L000,4 or + facades house,40
11002L000,all houses,306
11002L000,apartments,36
11002L011,2-3 facades house,150
11002L011,4 or + facades house,79
11002L011,all houses,229
11002L011,apartments,4
11002L022,2-3 facades house,6
11002L022,4 or + facades house,16
11002L022,all houses,22
11002L022,apartments,1
11002L090,2-3 facades house,4
11002L090,4 or + facades house,25
11002L090,all houses,29
11002L100,2-3 facades house,307
11002L100,4 or + facades house,64
11002L100,all houses,371
11002L100,apartments,42
11002L111,2-3 facades house,132
11002L111,4 or + facades house,45
11002L111,all houses,177
11002L111,apartments,5
11002L122,2-3 facades house,171
11002L122,4 or + facades house,26
11002L122,all houses,197
11002L18-,4 or + facades house,10
11002L18-,all houses,10
11002P00-,2-3 facades house,217
11002P00-,4 or + facades house,2
11002P00-,all houses,219
11002P00-,apartments,62
11002P01-,2-3 facades house,318
11002P01-,4 or + facades house,2
11002P01-,all houses,320
11002P01-,apartments,83
11002P02-,2-3 facades house,234
11002P02-,4 or + facades house,1
11002P02-,all houses,235
11002P02-,apartments,68
11002P03-,2-3 facades house,320
11002P03-,4 or + facades house,4
11002P03-,all houses,324
11002P03-,apartments,171
11002P04-,2-3 facades house,173
11002P04-,4 or + facades house,23
11002P04-,all houses,196
11002P04-,apartments,225
11002P05-,2-3 facades house,99
11002P05-,4 or + facades house,14
11002P05-,all houses,113
11002P05-,apartments,6
11002P100,2-3 facades house,289
11002P100,4 or + facades house,45
11002P100,all houses,334
11002P100,apartments,89
11002P111,2-3 facades house,138
11002P111,4 or + facades house,49
11002P111,all houses,187
11002P111,apartments,55
11002P12-,2-3 facades house,110
11002P12-,4 or + facades house,1
11002P12-,all houses,111
11002P12-,apartments,26
11002P20-,2-3 facades house,200
11002P20-,4 or + facades house,2
11002P20-,all houses,202
11002P20-,apartments,11
11002P21-,2-3 facades house,37
11002P21-,4 or + facades house,49
11002P21-,all houses,86
11002P22-,2-3 facades house,166
11002P22-,4 or + facades house,5
11002P22-,all houses,171
11002P22-,apartments,5
11002P23-,2-3 facades house,197
11002P23-,4 or + facades house,3
11002P23-,all houses,200
11002P23-,apartments,203
11002P242,2-3 facades house,3
11002P242,4 or + facades house,21
11002P242,all houses,24
11002P2AP,2-3 facades house,49
11002P2AP,4 or + facades house,61
11002P2AP,all houses,110
11002P2AP,apartments,16
11002P500,2-3 facades house,131
11002P500,4 or + facades house,8
11002P500,all houses,139
11002P500,apartments,43
11002P589,2-3 facades house,5
11002P589,4 or + facades house,9
11002P589,all houses,14
11002P590,2-3 facades house,3
11002P590,4 or + facades house,4
11002P590,all houses,7
11002P590,apartments,12
11002P6AK,2-3 facades house,24
11002P6AK,all houses,24
11002P6BK,2-3 facades house,75
11002P6BK,all houses,75
11002P6CK,2-3 facades house,84
11002P6CK,all houses,84
11002P6CK,apartments,5
11002P6DK,2-3 facades house,94
11002P6DK,4 or + facades house,1
11002P6DK,all houses,95
11002P6DK,apartments,93
11002P6EK,2-3 facades house,5
11002P6EK,all houses,5
11002P6EK,apartments,8
11002Q001,2-3 facades house,276
11002Q001,all houses,276
11002Q001,apartments,301
11002Q012,2-3 facades house,298
11002Q012,all houses,298
11002Q012,apartments,194
11002Q021,2-3 facades house,51
11002Q021,4 or + facades house,1
11002Q021,all houses,52
11002Q021,apartments,71
11002Q03-,2-3 facades house,169
11002Q03-,all houses,169
11002Q03-,apartments,440
11002Q04-,2-3 facades house,257
11002Q04-,all houses,257
11002Q04-,apartments,240
11002Q052,2-3 facades house,93
11002Q052,all houses,93
11002Q052,apartments,27
11002Q072,2-3 facades house,7
11002Q072,all houses,7
11002Q072,apartments,9
11002Q091,2-3 facades house,4
11002Q091,all houses,4
11002Q10-,2-3 facades house,288
11002Q10-,4 or + facades house,2
11002Q10-,all houses,290
11002Q10-,apartments,306
11002Q11-,2-3 facades house,144
11002Q11-,4 or + facades house,1
11002Q11-,all houses,145
11002Q11-,apartments,63
11002Q12-,2-3 facades house,442
11002Q12-,all houses,442
11002Q12-,apartments,273
11002Q13-,2-3 facades house,165
11002Q13-,4 or + facades house,2
11002Q13-,all houses,167
11002Q13-,apartments,457
11002Q14-,2-3 facades house,316
11002Q14-,all houses,316
11002Q14-,apartments,132
11002Q17-,2-3 facades house,2
11002Q17-,all houses,2
11002Q17-,apartments,2
11002Q201,2-3 facades house,334
