CD_STAT_SECTOR,CD_TYPE_FR_RENAMED,MS_TRANSACTIONS
24062C02-,apartments,26
24062C03-,2-3 facades house,86
24062C03-,all houses,86
24062C03-,apartments,12
24062C04-,2-3 facades house,137
24062C04-,4 or + facades house,8
24062C04-,all houses,145
24062C04-,apartments,22
24062C05-,2-3 facades house,114
24062C05-,all houses,114
24062C05-,apartments,33
24062C0AJ,2-3 facades house,12
24062C0AJ,all houses,12
24062C10-,2-3 facades house,48
24062C10-,4 or + facades house,1
24062C10-,all houses,49
24062C10-,apartments,41
24062C11-,2-3 facades house,47
24062C11-,4 or + facades house,15
24062C11-,all houses,62
24062C11-,apartments,25
24062C12-,2-3 facades house,80
24062C12-,4 or + facades house,2
24062C12-,all houses,82
24062C12-,apartments,21
24062C13-,2-3 facades house,117
24062C13-,4 or + facades house,17
24062C13-,all houses,134
24062C13-,apartments,25
24062C14-,2-3 facades house,57
24062C14-,4 or + facades house,1
24062C14-,all houses,58
24062C14-,apartments,7
24062C2MA,2-3 facades house,52
24062C2MA,4 or + facades house,3
24062C2MA,all houses,55
24062C2MA,apartments,10
24062C2PA,2-3 facades house,23
24062C2PA,4 or + facades house,16
24062C2PA,all houses,39
24062C32-,2-3 facades house,45
24062C32-,4 or + facades house,22
24062C32-,all houses,67
24062C32-,apartments,8
24062C39-,2-3 facades house,15
24062C39-,4 or + facades house,37
24062C39-,all houses,52
24062C40-,2-3 facades house,53
24062C40-,all houses,53
24062C40-,apartments,56
24062C41-,2-3 facades house,248
24062C41-,4 or + facades house,1
24062C41-,all houses,249
24062C41-,apartments,189
24062C42-,2-3 facades house,107
24062C42-,4 or + facades house,2
24062C42-,all houses,109
24062C42-,apartments,11
24062C43-,2-3 facades house,124
24062C43-,4 or + facades house,39
24062C43-,all houses,163
24062C43-,apartments,199
24062C44-,2-3 facades house,116
24062C44-,4 or + facades house,18
24062C44-,all houses,134
24062C44-,apartments,10
24062C50-,2-3 facades house,171
24062C50-,4 or + facades house,12
24062C50-,all houses,183
24062C50-,apartments,55
24062C51-,2-3 facades house,110
24062C51-,4 or + facades house,4
24062C51-,all houses,114
24062C51-,apartments,343
24062C52-,2-3 facades house,37
24062C52-,4 or + facades house,1
24062C52-,all houses,38
24062C52-,apartments,8
24062C59-,2-3 facades house,6
24062C59-,4 or + facades house,2
24062C59-,all houses,8
24062C59-,apartments,1
24062C61-,2-3 facades house,15
24062C61-,4 or + facades house,57
24062C61-,all houses,72
24062C63-,2-3 facades house,20
24062C63-,4 or + facades house,11
24062C63-,all houses,31
24062C68-,2-3 facades house,16
24062C68-,4 or + facades house,28
24062C68-,all houses,44
24062D00-,2-3 facades house,79
24062D00-,4 or + facades house,2
24062D00-,all houses,81
24062D00-,apartments,106
24062D01-,2-3 facades house,11
24062D01-,4 or + facades house,8
24062D01-,all houses,19
24062D01-,apartments,18
24062D02-,2-3 facades house,35
24062D02-,all houses,35
24062D02-,apartments,354
24062D03-,2-3 facades house,277
24062D03-,4 or + facades house,4
24062D03-,all houses,281
24062D03-,apartments,301
24062D04-,2-3 facades house,43
24062D04-,4 or + facades house,84
24062D04-,all houses,127
24062D04-,apartments,55
24062D05-,2-3 facades house,41
24062D05-,4 or + facades house,6
24062D05-,all houses,47
24062D05-,apartments,14
24062D10-,2-3 facades house,100
24062D10-,all houses,100
24062D10-,apartments,40
24062D11-,2-3 facades house,175
24062D11-,all houses,175
24062D11-,apartments,26
24062D19-,2-3 facades house,13
24062D19-,all houses,13
24062D19-,apartments,9
24062D209,2-3 facades house,49
24062D209,4 or + facades house,13
24062D209,all houses,62
24062D209,apartments,35
24062D21-,2-3 facades house,144
24062D21-,4 or + facades house,1
24062D21-,all houses,145
24062D21-,apartments,49
24062D22-,2-3 facades house,215
24062D22-,4 or + facades house,22
24062D22-,all houses,237
24062D22-,apartments,312
24062D310,2-3 facades house,10
24062D310,4 or + facades house,34
24062D310,all houses,44
24062D310,apartments,80
24062D390,2-3 facades house,2
24062D390,4 or + facades house,1
24062D390,all houses,3
24062D410,4 or + facades house,1
24062D410,all houses,1
24062D410,apartments,18
24062D500,2-3 facades house,58
24062D500,4 or + facades house,14
24062D500,all houses,72
24062D512,2-3 facades house,11
24062D512,4 or + facades house,26
24062D512,all houses,37
24062D591,2-3 facades house,6
24062D591,4 or + facades house,4
24062D591,all houses,10
24062D60-,2-3 facades house,66
24062D60-,4 or + facades house,6
24062D60-,all houses,72
24062D60-,apartments,67
24062D61-,2-3 facades house,73
24062D61-,4 or + facades house,13
24062D61-,all houses,86
24062D61-,apartments,7
24062D622,2-3 facades house,23
24062D622,4 or + facades house,22
24062D622,all houses,45
24062D622,apartments,64
24062D633,2-3 facades house,1
24062D633,4 or + facades house,3
24062D633,all houses,4
24062D633,apartments,2
24062D644,2-3 facades house,76
24062D644,4 or + facades house,13
24062D644,all houses,89
24062D644,apartments,447
24062D691,2-3 facades house,4
24062D691,4 or + facades house,10
24062D691,all houses,14
24062E70-,2-3 facades house,51
24062E70-,4 or + facades house,7
24062E70-,all houses,58
24062E70-,apartments,2
24062E710,2-3 facades house,64
24062E710,4 or + facades house,31
24062E710,all houses,95
24062E710,apartments,12
24062E72-,2-3 facades house,33
24062E72-,4 or + facades house,10
24062E72-,all houses,43
24062E72-,apartments,8
24062E732,2-3 facades house,33
24062E732,4 or + facades house,23
24062E732,all houses,56
24062E732,apartments,29
24062E742,2-3 facades house,8
24062E742,4 or + facades house,14
24062E742,all houses,22
24062E742,apartments,9
24062E774,2-3 facades house,5
24062E774,4 or + facades house,13
24062E774,all houses,18
24062E774,apartments,4
24062E790,2-3 facades house,26
24062E790,4 or + facades house,11
24062E790,all houses,37
24062F40-,2-3 facades house,260
24062F40-,4 or + facades house,31
24062F40-,all houses,291
24062F40-,apartments,24
24062F412,2-3 facades house,77
24062F412,4 or + facades house,8
24062F412,all houses,85
24062F491,2-3 facades house,35
24062F491,4 or + facades house,40
24062F491,all houses,75
24062_UNKNOWN,2-3 facades house,87
24062_UNKNOWN,4 or + facades house,23
24062_UNKNOWN,all houses,110
24062_UNKNOWN,apartments,45
24066A00-,2-3 facades house,48
24066A00-,4 or + facades house,15
24066A00-,all houses,63
24066A00-,apartments,23
24066A01-,2-3 facades house,17
24066A01-,4 or + facades house,8
24066A01-,all houses,25
24066A01-,apartments,3
24066A09-,2-3 facades house,56
24066A09-,4 or + facades house,143
24066A09-,all houses,199
24066A09-,apartments,1
24066A100,2-3 facades house,34
24066A100,4 or + facades house,27
24066A100,all houses,61
24066A100,apartments,5
24066A112,2-3 facades house,26
24066A112,4 or + facades house,18
24066A112,all houses,44
24066A112,apartments,3
24066A191,2-3 facades house,38
24066A191,4 or + facades house,69
24066A191,all houses,107
24066B00-,2-3 facades house,12
24066B00-,4 or + facades house,16
24066B00-,all houses,28
24066B01-,2-3 facades house,11
24066B01-,4 or + facades house,33
24066B01-,all houses,44
24066B08-,2-3 facades house,3
24066B08-,4 or + facades house,20
24066B08-,all houses,23
24066B09-,2-3 facades house,3
24066B09-,4 or + facades house,37
24066B09-,all houses,40
24066C002,2-3 facades house,32
24066C002,4 or + facades house,86
24066C002,all houses,118
24066C002,apartments,18
24066C091,2-3 facades house,11
24066C091,4 or + facades house,22
24066C091,all houses,33
24066C19-,2-3 facades house,8
24066C19-,4 or + facades house,12
24066C19-,all houses,20
24066C29-,2-3 facades house,10
24066C29-,4 or + facades house,16
24066C29-,all houses,26
24066C29-,apartments,5
24066D00-,2-3 facades house,69
24066D00-,4 or + facades house,52
24066D00-,all houses,121
24066D00-,apartments,20
24066D012,2-3 facades house,40
24066D012,4 or + facades house,53
24066D012,all houses,93
24066D012,apartments,25
24066D022,2-3 facades house,8
24066D022,4 or + facades house,64
24066D022,all houses,72
24066D033,2-3 facades house,3
24066D033,4 or + facades house,68
24066D033,all houses,71
24066D081,2-3 facades house,2
24066D081,4 or + facades house,2
24066D081,all houses,4
24066D081,apartments,5
24066D091,2-3 facades house,10
24066D091,4 or + facades house,5
24066D091,all houses,15
24066D091,apartments,1
24066D10-,2-3 facades house,17
24066D10-,4 or + facades house,9
24066D10-,all houses,26
24066D19-,2-3 facades house,2
24066D19-,4 or + facades house,15
24066D19-,all houses,17
24066_UNKNOWN,2-3 facades house,10
24066_UNKNOWN,4 or + facades house,19
24066_UNKNOWN,all houses,29
24066_UNKNOWN,apartments,1
24086A000,2-3 facades house,53
24086A000,4 or + facades house,39
24086A000,all houses,92
24086A000,apartments,2
24086A012,2-3 facades house,6
24086A012,4 or + facades house,34
24086A012,all houses,40
24086A012,apartments,12
24086A023,2-3 facades house,38
24086A023,4 or + facades house,65
24086A023,all houses,103
24086A023,apartments,1
24086A091,2-3 facades house,9
24086A091,4 or + facades house,23
24086A091,all houses,32
24086B002,2-3 facades house,10
24086B002,4 or + facades house,10
24086B002,all houses,20
24086B002,apartments,7
24086B091,4 or + facades house,9
24086B091,all houses,9
24086C000,2-3 facades house,31
24086C000,4 or + facades house,34
24086C000,all houses,65
24086C000,apartments,15
24086C012,2-3 facades house,36
24086C012,4 or + facades house,34
24086C012,all houses,70
24086C091,2-3 facades house,3
24086C091,4 or + facades house,10
24086C091,all houses,13
24086C091,apartments,3
24086C0AA,2-3 facades house,2
24086C0AA,4 or + facades house,29
24086C0AA,all houses,31
24086C0AA,apartments,2
24086C0PA,2-3 facades house,3
24086C0PA,4 or + facades house,8
24086C0PA,all houses,11
24086D00-,2-3 facades house,31
24086D00-,4 or + facades house,25
24086D00-,all houses,56
24086D00-,apartments,31
24086D012,2-3 facades house,31
24086D012,4 or + facades house,33
24086D012,all houses,64
24086D012,apartments,2
24086D023,2-3 facades house,2
24086D023,4 or + facades house,22
24086D023,all houses,24
24086D0PN,2-3 facades house,20
24086D0PN,4 or + facades house,26
24086D0PN,all houses,46
24086D19-,4 or + facades house,4
24086D19-,all houses,4
24086E000,2-3 facades house,55
24086E000,4 or + facades house,31
24086E000,all houses,86
24086E000,apartments,13
24086E012,2-3 facades house,30
24086E012,4 or + facades house,33
24086E012,all houses,63
24086E083,2-3 facades house,4
24086E083,4 or + facades house,15
24086E083,all houses,19
24086E091,2-3 facades house,2
24086E091,4 or + facades house,11
24086E091,all houses,13
24086_UNKNOWN,2-3 facades house,11
24086_UNKNOWN,4 or + facades house,12
24086_UNKNOWN,all houses,23
24094A00-,2-3 facades house,71
24094A00-,4 or + facades house,45
24094A00-,all houses,116
24094A00-,apartments,34
24094A01-,2-3 facades house,60
24094A01-,4 or + facades house,35
24094A01-,all houses,95
24094A01-,apartments,3
24094A022,2-3 facades house,24
24094A022,4 or + facades house,52
24094A022,all houses,76
24094A022,apartments,1
24094A091,2-3 facades house,7
24094A091,4 or + facades house,16
24094A091,all houses,23
24094A0MC,2-3 facades house,2
24094A0MC,4 or + facades house,4
24094A0MC,all houses,6
24094A0QC,2-3 facades house,22
24094A0QC,4 or + facades house,4
24094A0QC,all houses,26
24094A0QC,apartments,4
24094A1AA,2-3 facades house,10
24094A1AA,4 or + facades house,41
24094A1AA,all houses,51
24094A1BB,2-3 facades house,5
24094A1BB,4 or + facades house,9
24094A1BB,all houses,14
24094A1QB,2-3 facades house,10
24094A1QB,4 or + facades house,21
24094A1QB,all houses,31
24094A20-,2-3 facades house,20
24094A20-,4 or + facades house,30
24094A20-,all houses,50
24094A20-,apartments,2
24094A21-,2-3 facades house,18
24094A21-,4 or + facades house,39
24094A21-,all houses,57
24094A21-,apartments,2
24094A222,2-3 facades house,4
24094A222,4 or + facades house,89
24094A222,all houses,93
24094A28-,2-3 facades house,9
24094A28-,4 or + facades house,32
24094A28-,all houses,41
24094A28-,apartments,1
24094A291,2-3 facades house,12
24094A291,4 or + facades house,55
24094A291,all houses,67
24094A39-,2-3 facades house,14
24094A39-,4 or + facades house,31
24094A39-,all houses,45
24094B00-,2-3 facades house,25
24094B00-,4 or + facades house,41
24094B00-,all houses,66
24094B00-,apartments,12
24094B010,2-3 facades house,22
24094B010,4 or + facades house,68
24094B010,all houses,90
24094B08-,2-3 facades house,9
24094B08-,4 or + facades house,59
24094B08-,all houses,68
24094B08-,apartments,3
24094B09-,2-3 facades house,2
24094B09-,4 or + facades house,78
24094B09-,all houses,80
24094B192,4 or + facades house,1
24094B192,all houses,1
24094C000,2-3 facades house,88
24094C000,4 or + facades house,11
24094C000,all houses,99
24094C000,apartments,94
24094C01-,2-3 facades house,44
24094C01-,4 or + facades house,27
24094C01-,all houses,71
24094C01-,apartments,2
24094C022,2-3 facades house,19
24094C022,4 or + facades house,23
24094C022,all houses,42
24094C080,2-3 facades house,6
24094C080,4 or + facades house,11
24094C080,all houses,17
24094C0AA,2-3 facades house,8
24094C0AA,4 or + facades house,16
24094C0AA,all houses,24
24094C0PA,2-3 facades house,19
24094C0PA,4 or + facades house,17
24094C0PA,all houses,36
24094C183,2-3 facades house,1
24094C183,4 or + facades house,7
24094C183,all houses,8
24094C19-,2-3 facades house,15
24094C19-,4 or + facades house,47
24094C19-,all houses,62
24094_UNKNOWN,2-3 facades house,17
24094_UNKNOWN,4 or + facades house,27
24094_UNKNOWN,all houses,44
24104A001,2-3 facades house,113
24104A001,4 or + facades house,2
24104A001,all houses,115
24104A001,apartments,146
24104A011,2-3 facades house,10
24104A011,4 or + facades house,56
24104A011,all houses,66
24104A011,apartments,10
24104A021,2-3 facades house,68
24104A021,all houses,68
24104A021,apartments,26
24104A03-,2-3 facades house,65
24104A03-,4 or + facades house,1
24104A03-,all houses,66
24104A03-,apartments,1
24104A042,2-3 facades house,230
24104A042,4 or + facades house,2
24104A042,all houses,232
24104A042,apartments,28
24104A052,2-3 facades house,12
24104A052,4 or + facades house,45
24104A052,all houses,57
24104A08-,4 or + facades house,1
24104A08-,all houses,1
24104A091,4 or + facades house,3
24104A091,all houses,3
24104A091,apartments,1
24104A11-,2-3 facades house,31
24104A11-,4 or + facades house,85
24104A11-,all houses,116
24104A11-,apartments,19
24104A20-,2-3 facades house,70
24104A20-,4 or + facades house,63
24104A20-,all houses,133
24104A211,2-3 facades house,27
24104A211,4 or + facades house,117
24104A211,all houses,144
24104A211,apartments,4
24104A222,2-3 facades house,7
24104A222,4 or + facades house,72
24104A222,all houses,79
24104A300,2-3 facades house,32
24104A300,4 or + facades house,17
24104A300,all houses,49
24104A300,apartments,7
24104A31-,2-3 facades house,5
24104A31-,4 or + facades house,126
24104A31-,all houses,131
24104A31-,apartments,1
24104A322,2-3 facades house,57
24104A322,4 or + facades house,89
24104A322,all houses,146
24104A391,2-3 facades house,3
24104A391,4 or + facades house,2
24104A391,all houses,5
24104A412,2-3 facades house,3
24104A412,4 or + facades house,35
24104A412,all houses,38
24104A423,2-3 facades house,2
24104A423,4 or + facades house,37
24104A423,all houses,39
24104A432,2-3 facades house,62
24104A432,4 or + facades house,17
24104A432,all houses,79
24104A432,apartments,4
24104B00-,2-3 facades house,50
24104B00-,4 or + facades house,22
24104B00-,all houses,72
24104B00-,apartments,11
24104B010,2-3 facades house,24
24104B010,4 or + facades house,6
24104B010,all houses,30
24104B02-,2-3 facades house,42
24104B02-,4 or + facades house,31
24104B02-,all houses,73
24104B032,2-3 facades house,12
24104B032,4 or + facades house,63
24104B032,all houses,75
24104B032,apartments,14
24104B043,2-3 facades house,17
24104B043,4 or + facades house,21
24104B043,all houses,38
24104B084,2-3 facades house,1
24104B084,4 or + facades house,16
24104B084,all houses,17
24104B091,2-3 facades house,1
24104B091,4 or + facades house,5
24104B091,all houses,6
24104B112,2-3 facades house,8
24104B112,4 or + facades house,8
24104B112,all houses,16
24104B191,4 or + facades house,2
24104B191,all houses,2
24104C00-,2-3 facades house,13
24104C00-,4 or + facades house,10
24104C00-,all houses,23
24104C00-,apartments,5
24104C010,2-3 facades house,26
24104C010,4 or + facades house,30
24104C010,all houses,56
24104C022,2-3 facades house,15
24104C022,4 or + facades house,19
24104C022,all houses,34
24104C022,apartments,2
24104C091,4 or + facades house,10
24104C091,all houses,10
24104C0AA,2-3 facades house,30
24104C0AA,4 or + facades house,29
24104C0AA,all houses,59
24104C0PA,2-3 facades house,2
24104C0PA,4 or + facades house,4
24104C0PA,all houses,6
24104C19-,2-3 facades house,10
24104C19-,4 or + facades house,21
24104C19-,all houses,31
24104C19-,apartments,3
24104_UNKNOWN,2-3 facades house,19
24104_UNKNOWN,4 or + facades house,15
24104_UNKNOWN,all houses,34
24104_UNKNOWN,apartments,2
24107A00-,2-3 facades house,130
24107A00-,all houses,130
24107A00-,apartments,128
24107A01-,2-3 facades house,368
24107A01-,all houses,368
24107A01-,apartments,67
24107A02-,2-3 facades house,25
24107A02-,all houses,25
24107A03-,2-3 facades house,314
24107A03-,all houses,314
24107A03-,apartments,57
24107A04-,2-3 facades house,164
24107A04-,all houses,164
24107A04-,apartments,99
24107A05-,2-3 facades house,188
24107A05-,4 or + facades house,2
24107A05-,all houses,190
24107A05-,apartments,210
24107A07-,2-3 facades house,58
24107A07-,4 or + facades house,5
24107A07-,all houses,63
24107A07-,apartments,67
24107A10-,2-3 facades house,314
24107A10-,4 or + facades house,1
24107A10-,all houses,315
24107A10-,apartments,30
24107A11-,2-3 facades house,111
24107A11-,4 or + facades house,1
24107A11-,all houses,112
24107A11-,apartments,27
24107A19-,2-3 facades house,7
24107A19-,4 or + facades house,1
24107A19-,all houses,8
24107A21-,2-3 facades house,116
24107A21-,4 or + facades house,6
24107A21-,all houses,122
24107A21-,apartments,40
24107A22-,2-3 facades house,93
24107A22-,4 or + facades house,10
24107A22-,all houses,103
24107A22-,apartments,10
24107A29-,2-3 facades house,27
24107A29-,4 or + facades house,4
24107A29-,all houses,31
24107A30-,2-3 facades house,147
24107A30-,4 or + facades house,9
24107A30-,all houses,156
24107A30-,apartments,7
24107A311,2-3 facades house,80
24107A311,4 or + facades house,6
24107A311,all houses,86
24107A311,apartments,33
24107A322,2-3 facades house,3
24107A322,4 or + facades house,18
24107A322,all houses,21
24107A333,2-3 facades house,156
24107A333,4 or + facades house,5
24107A333,all houses,161
24107A333,apartments,17
24107A39-,2-3 facades house,16
24107A39-,4 or + facades house,2
24107A39-,all houses,18
24107A40-,2-3 facades house,226
24107A40-,4 or + facades house,14
24107A40-,all houses,240
24107A40-,apartments,30
24107A49-,2-3 facades house,26
24107A49-,4 or + facades house,6
24107A49-,all houses,32
24107A49-,apartments,51
24107A50-,2-3 facades house,104
24107A50-,4 or + facades house,69
24107A50-,all houses,173
24107A50-,apartments,37
24107A51-,2-3 facades house,85
24107A51-,4 or + facades house,18
24107A51-,all houses,103
24107A51-,apartments,38
24107B00-,2-3 facades house,17
24107B00-,4 or + facades house,7
24107B00-,all houses,24
24107B083,4 or + facades house,3
24107B083,all houses,3
24107B091,2-3 facades house,2
24107B091,4 or + facades house,3
24107B091,all houses,5
24107B231,2-3 facades house,35
24107B231,4 or + facades house,16
24107B231,all houses,51
24107B231,apartments,20
24107B282,2-3 facades house,21
24107B282,4 or + facades house,18
24107B282,all houses,39
24107B282,apartments,3
24107C000,2-3 facades house,64
24107C000,4 or + facades house,22
24107C000,all houses,86
24107C000,apartments,28
24107C010,2-3 facades house,36
24107C010,4 or + facades house,5
24107C010,all houses,41
24107C010,apartments,1
24107C023,2-3 facades house,39
24107C023,4 or + facades house,34
24107C023,all houses,73
24107C023,apartments,3
24107C091,2-3 facades house,2
24107C091,4 or + facades house,5
24107C091,all houses,7
24107D00-,2-3 facades house,55
24107D00-,4 or + facades house,11
24107D00-,all houses,66
24107D00-,apartments,28
24107D01-,2-3 facades house,31
24107D01-,4 or + facades house,5
24107D01-,all houses,36
24107D020,2-3 facades house,34
24107D020,4 or + facades house,36
24107D020,all houses,70
24107D020,apartments,8
24107D090,2-3 facades house,20
24107D090,4 or + facades house,40
24107D090,all houses,60
24107D29-,2-3 facades house,15
24107D29-,4 or + facades house,5
24107D29-,all houses,20
24107E00-,2-3 facades house,6
24107E00-,4 or + facades house,2
24107E00-,all houses,8
24107E012,2-3 facades house,14
24107E012,4 or + facades house,9
24107E012,all houses,23
24107E091,2-3 facades house,12
24107E091,4 or + facades house,13
24107E091,all houses,25
24107E100,2-3 facades house,19
24107E100,4 or + facades house,26
24107E100,all houses,45
24107E190,2-3 facades house,9
24107E190,4 or + facades house,21
24107E190,all houses,30
24107F00-,2-3 facades house,12
24107F00-,4 or + facades house,7
24107F00-,all houses,19
24107F09-,2-3 facades house,35
24107F09-,4 or + facades house,23
24107F09-,all houses,58
24107F191,4 or + facades house,2
24107F191,all houses,2
24107F482,2-3 facades house,5
24107F482,4 or + facades house,7
24107F482,all houses,12
24107G00-,2-3 facades house,82
24107G00-,4 or + facades house,17
24107G00-,all houses,99
24107G00-,apartments,8
24107G01-,2-3 facades house,44
24107G01-,4 or + facades house,15
24107G01-,all houses,59
24107G022,2-3 facades house,18
24107G022,4 or + facades house,22
24107G022,all houses,40
24107G08-,2-3 facades house,23
24107G08-,4 or + facades house,6
24107G08-,all houses,29
24107G091,2-3 facades house,6
24107G091,4 or + facades house,2
24107G091,all houses,8
24107G183,2-3 facades house,8
24107G183,4 or + facades house,3
24107G183,all houses,11
24107G19-,2-3 facades house,9
24107G19-,4 or + facades house,3
24107G19-,all houses,12
24107H000,2-3 facades house,37
24107H000,4 or + facades house,6
24107H000,all houses,43
24107H000,apartments,1
24107H010,2-3 facades house,36
24107H010,4 or + facades house,10
24107H010,all houses,46
24107H010,apartments,1
24107H090,2-3 facades house,17
24107H090,4 or + facades house,8
24107H090,all houses,25
24107H19-,2-3 facades house,23
24107H19-,4 or + facades house,11
24107H19-,all houses,34
24107J00-,2-3 facades house,43
24107J00-,4 or + facades house,13
24107J00-,all houses,56
24107J00-,apartments,2
24107J091,2-3 facades house,25
24107J091,4 or + facades house,22
24107J091,all houses,47
24107J19-,2-3 facades house,28
24107J19-,4 or + facades house,7
24107J19-,all houses,35
24107_UNKNOWN,2-3 facades house,45
24107_UNKNOWN,4 or + facades house,5
24107_UNKNOWN,all houses,50
24107_UNKNOWN,apartments,18
24109A00-,2-3 facades house,36
24109A00-,4 or + facades house,23
24109A00-,all houses,59
24109A00-,apartments,53
24109A012,2-3 facades house,22
24109A012,4 or + facades house,102
24109A012,all houses,124
24109A012,apartments,2
24109A021,2-3 facades house,20
24109A021,4 or + facades house,90
24109A021,all houses,110
24109A021,apartments,1
24109A032,2-3 facades house,2
24109A032,4 or + facades house,111
24109A032,all houses,113
24109A091,2-3 facades house,6
24109A091,4 or + facades house,12
24109A091,all houses,18
24109A0AA,2-3 facades house,4
24109A0AA,4 or + facades house,127
24109A0AA,all houses,131
24109A0PA,2-3 facades house,26
24109A0PA,4 or + facades house,41
24109A0PA,all houses,67
24109A19-,2-3 facades house,2
24109A19-,4 or + facades house,28
24109A19-,all houses,30
24109A21-,2-3 facades house,36
24109A21-,4 or + facades house,157
24109A21-,all houses,193
24109B00-,2-3 facades house,43
24109B00-,4 or + facades house,56
24109B00-,all houses,99
24109B00-,apartments,56
24109B01-,2-3 facades house,14
24109B01-,4 or + facades house,143
24109B01-,all houses,157
24109B01-,apartments,2
24109B09-,2-3 facades house,24
24109B09-,4 or + facades house,154
24109B09-,all houses,178
24109B11-,2-3 facades house,2
24109B11-,4 or + facades house,7
24109B11-,all houses,9
24109B184,2-3 facades house,6
24109B184,4 or + facades house,42
24109B184,all houses,48
24109B184,apartments,3
24109_UNKNOWN,2-3 facades house,9
24109_UNKNOWN,4 or + facades house,22
24109_UNKNOWN,all houses,31
24130A00-,2-3 facades house,149
24130A00-,4 or + facades house,9
24130A00-,all houses,158
24130A00-,apartments,21
24130A09-,2-3 facades house,25
24130A09-,4 or + facades house,40
24130A09-,all houses,65
24130A19-,2-3 facades house,21
24130A19-,4 or + facades house,33
24130A19-,all houses,54
24130B082,2-3 facades house,15
24130B082,4 or + facades house,20
24130B082,all houses,35
24130B091,2-3 facades house,4
24130B091,4 or + facades house,5
24130B091,all houses,9
24130C00-,2-3 facades house,50
24130C00-,4 or + facades house,18
24130C00-,all houses,68
24130C00-,apartments,1
24130C09-,2-3 facades house,56
24130C09-,4 or + facades house,27
24130C09-,all houses,83
24130C19-,2-3 facades house,15
24130C19-,4 or + facades house,32
24130C19-,all houses,47
24130D00-,2-3 facades house,11
24130D00-,4 or + facades house,13
24130D00-,all houses,24
24130D09-,2-3 facades house,14
24130D09-,4 or + facades house,29
24130D09-,all houses,43
24130E00-,2-3 facades house,7
24130E00-,4 or + facades house,11
24130E00-,all houses,18
24130E00-,apartments,3
24130E012,2-3 facades house,16
24130E012,4 or + facades house,9
24130E012,all houses,25
24130E091,2-3 facades house,15
24130E091,4 or + facades house,95
24130E091,all houses,110
24130E19-,2-3 facades house,14
24130E19-,4 or + facades house,66
24130E19-,all houses,80
24130E29-,2-3 facades house,1
24130E29-,4 or + facades house,13
24130E29-,all houses,14
24130_UNKNOWN,2-3 facades house,6
24130_UNKNOWN,4 or + facades house,8
24130_UNKNOWN,all houses,14
24133A00-,2-3 facades house,71
24133A00-,4 or + facades house,17
24133A00-,all houses,88
24133A00-,apartments,10
24133A09-,2-3 facades house,34
24133A09-,4 or + facades house,41
24133A09-,all houses,75
24133B00-,2-3 facades house,34
24133B00-,4 or + facades house,19
24133B00-,all houses,53
24133B00-,apartments,7
24133B081,2-3 facades house,19
24133B081,4 or + facades house,17
24133B081,all houses,36
24133B09-,2-3 facades house,14
24133B09-,4 or + facades house,9
24133B09-,all houses,23
24133B102,2-3 facades house,28
24133B102,4 or + facades house,11
24133B102,all houses,39
24133C000,2-3 facades house,39
24133C000,4 or + facades house,22
24133C000,all houses,61
24133C000,apartments,1
24133C090,2-3 facades house,14
24133C090,4 or + facades house,6
24133C090,all houses,20
24133C090,apartments,2
24133D00-,2-3 facades house,8
24133D00-,4 or + facades house,2
24133D00-,all houses,10
24133D09-,2-3 facades house,7
24133D09-,4 or + facades house,1
24133D09-,all houses,8
24133E00-,2-3 facades house,10
24133E00-,4 or + facades house,2
24133E00-,all houses,12
24133E08-,2-3 facades house,3
24133E08-,4 or + facades house,15
24133E08-,all houses,18
24133E09-,4 or + facades house,1
24133E09-,all houses,1
24133F00-,2-3 facades house,8
24133F00-,4 or + facades house,22
24133F00-,all houses,30
24133F09-,2-3 facades house,8
24133F09-,4 or + facades house,21
24133F09-,all houses,29
24133G00-,2-3 facades house,87
24133G00-,4 or + facades house,21
24133G00-,all houses,108
24133G00-,apartments,1
24133G09-,2-3 facades house,61
24133G09-,4 or + facades house,50
24133G09-,all houses,111
24133_UNKNOWN,2-3 facades house,7
24133_UNKNOWN,4 or + facades house,2
24133_UNKNOWN,all houses,9
24134A00-,2-3 facades house,68
24134A00-,all houses,68
24134A00-,apartments,24
24134A011,2-3 facades house,107
24134A011,4 or + facades house,19
24134A011,all houses,126
24134A011,apartments,25
24134A012,2-3 facades house,154
24134A012,4 or + facades house,66
24134A012,all houses,220
24134A012,apartments,37
24134A023,4 or + facades house,58
24134A023,all houses,58
24134A091,2-3 facades house,36
24134A091,4 or + facades house,45
24134A091,all houses,81
24134A091,apartments,4
24134A092,4 or + facades house,3
24134A092,all houses,3
24134A10-,2-3 facades house,115
24134A10-,4 or + facades house,31
24134A10-,all houses,146
24134A10-,apartments,3
24134A114,2-3 facades house,19
24134A114,4 or + facades house,39
24134A114,all houses,58
24134A191,2-3 facades house,12
24134A191,4 or + facades house,11
24134A191,all houses,23
24134A192,2-3 facades house,3
24134A192,4 or + facades house,5
24134A192,all houses,8
24134B00-,2-3 facades house,206
24134B00-,4 or + facades house,16
24134B00-,all houses,222
24134B00-,apartments,31
24134B091,2-3 facades house,20
24134B091,4 or + facades house,67
24134B091,all houses,87
24134B092,2-3 facades house,27
24134B092,4 or + facades house,15
24134B092,all houses,42
24134B10-,2-3 facades house,32
24134B10-,4 or + facades house,51
24134B10-,all houses,83
24134B19-,2-3 facades house,9
