CD_STAT_SECTOR,CD_YEAR,MS_P25
11001A00-,2023,217500.0
11001A01-,2023,325000.0
11001A01-,2023,347000.0
11001A052,2023,368500.0
11001A052,2023,370500.0
11002A00-,2023,215100.0
11002A01-,2023,210750.0
11002A05-,2023,190000.0
11002A10-,2023,270000.0
11002A11-,2023,225000.0
11002A12-,2023,160000.0
11002A13-,2023,172500.0
11002A14-,2023,254000.0
11002A15-,2023,129000.0
11002A21-,2023,255000.0
11002A22-,2023,251000.0
11002B701,2023,186000.0
11002B71-,2023,207000.0
11002B721,2023,205000.0
11002B813,2023,231000.0
11002C20-,2023,275000.0
11002C21-,2023,125000.0
11002C22-,2023,110500.0
11002C23-,2023,121000.0
11002C24-,2023,185000.0
11002C25-,2023,222500.0
11002C31-,2023,290000.0
11002C41-,2023,175000.0
11002C42-,2023,214750.0
11002C42-,2023,214750.0
11002D30-,2023,165000.0
11002D31-,2023,155000.0
11002D32-,2023,137000.0
11002D33-,2023,255000.0
11002D34-,2023,385900.0
11002D34-,2023,385900.0
11002D34-,2023,225000.0
11002D41-,2023,124000.0
11002D42-,2023,212500.0
11002E122,2023,250000.0
11002E14-,2023,275000.0
11002E15-,2023,275000.0
11002E50-,2023,405000.0
11002E50-,2023,405000.0
11002E50-,2023,274000.0
11002E521,2023,330000.0
11002E521,2023,330000.0
11002E521,2023,260000.0
11002E53-,2023,185000.0
11002E551,2023,239000.0
11002E5MJ,2023,129500.0
11002F21-,2023,220000.0
11002F61-,2023,235000.0
11002F61-,2023,235000.0
11002F65-,2023,155000.0
11002G51-,2023,257500.0
11002G53-,2023,615000.0
11002G53-,2023,615000.0
11002G53-,2023,222000.0
11002G54-,2023,239000.0
11002G72-,2023,182000.0
11002G73-,2023,139000.0
11002H43-,2023,165000.0
11002H83-,2023,162241.0
11002J072,2023,141750.0
11002J820,2023,235000.0
11002J83-,2023,115000.0
11002J85-,2023,338000.0
11002L000,2023,225000.0
11002L000,2023,225000.0
11002L011,2023,267500.0
11002L100,2023,295000.0
11002L100,2023,295000.0
11002L111,2023,216500.0
11002P00-,2023,228750.0
11002P00-,2023,228750.0
11002P01-,2023,230000.0
11002P01-,2023,230000.0
11002P03-,2023,305000.0
11002P03-,2023,305000.0
11002P04-,2023,285000.0
11002P04-,2023,192500.0
11002P100,2023,300000.0
11002P100,2023,305000.0
11002P111,2023,396000.0
11002P20-,2023,275000.0
11002P20-,2023,275000.0
11002P500,2023,312500.0
11002P500,2023,312500.0
11002P6CK,2023,290000.0
11002P6CK,2023,290000.0
11002Q001,2023,212000.0
11002Q001,2023,212000.0
11002Q001,2023,153000.0
11002Q03-,2023,175000.0
11002Q04-,2023,250000.0
11002Q04-,2023,250000.0
11002Q04-,2023,165000.0
11002Q10-,2023,270000.0
11002Q10-,2023,276250.0
11002Q10-,2023,160000.0
11002Q11-,2023,287500.0
11002Q11-,2023,287500.0
11002Q12-,2023,250000.0
11002Q12-,2023,250000.0
11002Q12-,2023,179000.0
11002Q13-,2023,255000.0
11002Q13-,2023,255000.0
11002Q13-,2023,149000.0
11002Q14-,2023,240000.0
11002Q14-,2023,240000.0
11002Q201,2023,288000.0
11002Q201,2023,288000.0
11002Q201,2023,170000.0
11002Q212,2023,166500.0
11002Q233,2023,185000.0
11002Q242,2023,180000.0
11002R01-,2023,190000.0
11002R03-,2023,225000.0
11002R03-,2023,225000.0
11002R03-,2023,150000.0
11002R05-,2023,265000.0
11002R05-,2023,265000.0
11002R101,2023,241250.0
11002R101,2023,241250.0
11002R101,2023,147250.0
11002R110,2023,169500.0
11002R12-,2023,207000.0
11002R12-,2023,207000.0
11002R13-,2023,200000.0
11002R13-,2023,200000.0
11002R13-,2023,149000.0
11002R180,2023,129500.0
11002R20-,2023,165000.0
11002R21-,2023,176000.0
11002R22-,2023,169000.0
11002R23-,2023,195000.0
11002R24-,2023,172500.0
11002R31-,2023,180000.0
11002R32-,2023,168500.0
11002R33-,2023,179000.0
11002R35-,2023,175250.0
11002R401,2023,337750.0
11002R401,2023,337750.0
11002R41-,2023,335000.0
11002R41-,2023,335000.0
11002R43-,2023,212000.0
11002R44-,2023,295000.0
11002R44-,2023,295000.0
11002R44-,2023,185000.0
11002S00-,2023,188000.0
11002S01-,2023,146000.0
11002S02-,2023,255025.0
11002S02-,2023,255025.0
11002S02-,2023,169000.0
11002S03-,2023,199000.0
11002S04-,2023,149000.0
11002S05-,2023,146000.0
11002S10-,2023,186000.0
11002S11-,2023,165000.0
11002S12-,2023,169000.0
11002S20-,2023,171000.0
11002S2MJ,2023,155000.0
11002S30-,2023,250000.0
11002S30-,2023,250000.0
11002S31-,2023,170000.0
11002S31-,2023,170000.0
11002S41-,2023,205000.0
11002S42-,2023,180000.0
11002T00-,2023,250000.0
11002T00-,2023,250000.0
11002T01-,2023,265000.0
11002T01-,2023,265000.0
11002T03-,2023,310000.0
11002T03-,2023,310000.0
11002T04-,2023,232000.0
11002T05-,2023,285000.0
11002T05-,2023,285000.0
11002T05-,2023,355555.0
11002T10-,2023,420000.0
11002T10-,2023,420000.0
11002T10-,2023,215000.0
11002T111,2023,195000.0
11002T12-,2023,194500.0
11002T13-,2023,256500.0
11002T14-,2023,222500.0
11002T20-,2023,184500.0
11002T23-,2023,310000.0
11002T23-,2023,310000.0
11002T412,2023,249500.0
11002T42-,2023,227000.0
11002U00-,2023,265000.0
11002U00-,2023,265000.0
11002U00-,2023,190000.0
11002U01-,2023,255000.0
11002U01-,2023,255000.0
11002U03-,2023,308000.0
11002U03-,2023,308000.0
11002U10-,2023,211500.0
11002U20-,2023,260000.0
11002U20-,2023,260000.0
11002U20-,2023,180000.0
11002U21-,2023,250000.0
11002U21-,2023,250000.0
11002U21-,2023,185000.0
11002U30-,2023,207000.0
11002U33-,2023,235000.0
11002U40-,2023,360250.0
11002U40-,2023,360250.0
11002V01-,2023,213500.0
11002V01-,2023,213500.0
11002V05-,2023,259500.0
11002V05-,2023,259500.0
11002V10-,2023,230000.0
11002V10-,2023,230000.0
11002V10-,2023,171000.0
11002V11-,2023,149000.0
11002V12-,2023,165000.0
11002V13-,2023,214000.0
11002V13-,2023,214000.0
11002V14-,2023,230000.0
11002V14-,2023,230000.0
11002V20-,2023,261000.0
11002V20-,2023,261000.0
11002V23-,2023,310000.0
11002V23-,2023,310000.0
11002V301,2023,175000.0
11002V301,2023,175000.0
11004A220,2023,250000.0
11005A00-,2023,175000.0
11005A01-,2023,222500.0
11005A01-,2023,222500.0
11005A03-,2023,210000.0
11005A04-,2023,151000.0
11005A04-,2023,151000.0
11005A211,2023,275000.0
11005A211,2023,275000.0
11005A30-,2023,260000.0
11005A30-,2023,260000.0
11007A03-,2023,185000.0
11007A04-,2023,315000.0
11007A04-,2023,315000.0
11007A04-,2023,202500.0
11008A00-,2023,252500.0
11008A01-,2023,258900.0
11008A020,2023,322500.0
11008A020,2023,325000.0
11008A020,2023,255000.0
11008A03-,2023,337500.0
11008A03-,2023,345000.0
11008A04-,2023,350000.0
11008A04-,2023,350000.0
11008A04-,2023,264000.0
11008A0BJ,2023,259800.0
11008A11-,2023,365000.0
11008A20-,2023,355000.0
11008A20-,2023,357500.0
11008A21-,2023,345000.0
11008A21-,2023,355000.0
11008A40-,2023,350000.0
11008A40-,2023,378345.0
11008A49-,2023,420000.0
11008A510,2023,900000.0
11008A510,2023,795000.0
11009A000,2023,300000.0
11009A20-,2023,280000.0
11009A20-,2023,280000.0
11009A222,2023,427500.0
11009A222,2023,427500.0
11009A5AA,2023,311000.0
11009A5AA,2023,295500.0
11009C01-,2023,270000.0
11009C01-,2023,293000.0
11009C020,2023,337000.0
11009C03-,2023,242000.0
11013A00-,2023,275000.0
11013A00-,2023,275000.0
11013A01-,2023,200000.0
11013A02-,2023,235000.0
11013A101,2023,375000.0
11013A101,2023,380000.0
11013A142,2023,400000.0
11013A142,2023,415000.0
11013A20-,2023,355000.0
11013A20-,2023,355000.0
11016A042,2023,255000.0
11016A501,2023,302500.0
11016A501,2023,335000.0
11018A021,2023,215000.0
11018A021,2023,215000.0
11018A101,2023,150000.0
11018A101,2023,150000.0
11021A00-,2023,290000.0
11021A00-,2023,295000.0
11021A062,2023,395000.0
11022A21-,2023,487500.0
11022A21-,2023,475000.0
11023A00-,2023,240000.0
11023A00-,2023,241000.0
11023A00-,2023,199000.0
11023A02-,2023,330000.0
11023A02-,2023,138250.0
11023A03-,2023,255000.0
11023A03-,2023,255000.0
11023A10-,2023,250000.0
11023A200,2023,525000.0
11023A200,2023,525000.0
11023B32-,2023,425000.0
11023B32-,2023,425000.0
11023B330,2023,200500.0
11023B40-,2023,342500.0
11024A00-,2023,207500.0
11024A00-,2023,220000.0
11024A00-,2023,240000.0
11024A01-,2023,329000.0
11024A04-,2023,335000.0
11024A220,2023,345000.0
11029A00-,2023,367500.0
11029A00-,2023,367500.0
11029A00-,2023,200000.0
11029A02-,2023,365001.0
11029A02-,2023,365001.0
11029A11-,2023,349000.0
11029A11-,2023,344750.0
11029A12-,2023,359000.0
11029A12-,2023,359000.0
11029A201,2023,299000.0
11029A201,2023,299000.0
11029A201,2023,180500.0
11029A211,2023,442000.0
11029A242,2023,241000.0
11030A00-,2023,215000.0
11030A00-,2023,215000.0
11030A00-,2023,174000.0
11030A01-,2023,215000.0
11030A01-,2023,215000.0
11030A02-,2023,185000.0
11030A02-,2023,185000.0
11030A03-,2023,210000.0
11030A03-,2023,210000.0
11030A10-,2023,158000.0
11030A10-,2023,158000.0
11035B00-,2023,350000.0
11037A02-,2023,227000.0
11037A02-,2023,227000.0
11037C100,2023,251000.0
11037C100,2023,296875.0
11038A000,2023,210000.0
11038A000,2023,210000.0
11038A010,2023,222500.0
11038A010,2023,230000.0
11039A00-,2023,345000.0
11039A010,2023,332500.0
11039A010,2023,350000.0
11039A04-,2023,385000.0
11039A21-,2023,494330.0
11039A21-,2023,494330.0
11039B02-,2023,600000.0
11039B02-,2023,600000.0
11040A00-,2023,180000.0
11040A01-,2023,257500.0
11040A01-,2023,257500.0
11040A03-,2023,250000.0
11040A03-,2023,250000.0
11040A03-,2023,208000.0
11040A040,2023,250500.0
11040A040,2023,250500.0
11040A050,2023,281500.0
11040A050,2023,281500.0
11040A060,2023,279000.0
11040A060,2023,290000.0
11040A10-,2023,285000.0
11040A10-,2023,292000.0
11040A11-,2023,680000.0
11040A11-,2023,550000.0
11040A201,2023,235000.0
11040A201,2023,235000.0
11040A201,2023,193000.0
11040A253,2023,248500.0
11040A253,2023,248500.0
11044A001,2023,300000.0
11044A001,2023,300000.0
11044A001,2023,208000.0
11044A032,2023,249000.0
11044A032,2023,249000.0
11044A042,2023,324500.0
11044B001,2023,212500.0
11044B001,2023,212500.0
11044B022,2023,305000.0
11044B022,2023,305000.0
11044B022,2023,195000.0
11050A000,2023,250000.0
11050A000,2023,250000.0
11050A000,2023,280000.0
11052A02-,2023,339000.0
11052A02-,2023,339000.0
11052A041,2023,350000.0
11052A100,2023,285000.0
11052A100,2023,290000.0
11055A10-,2023,281500.0
11055A224,2023,363500.0
11055B110,2023,432250.0
11055B110,2023,365000.0
11056A220,2023,260000.0
11056A220,2023,260000.0
11056B00-,2023,250000.0
11056B00-,2023,250000.0
11056B00-,2023,235000.0
11056B01-,2023,212000.0
11056B01-,2023,212000.0
11056B02-,2023,245000.0
11056B02-,2023,245000.0
11057A00-,2023,210000.0
12002A012,2023,277500.0
12002A012,2023,245000.0
12002A300,2023,222500.0
12005A000,2023,269000.0
12005A000,2023,269000.0
12005A02-,2023,382500.0
12005B01-,2023,358750.0
12007A001,2023,220000.0
12007A001,2023,222500.0
12007A001,2023,258000.0
12007A021,2023,236000.0
12009A000,2023,240000.0
12009A000,2023,237500.0
12009A200,2023,280000.0
12009A200,2023,280000.0
12009A200,2023,200000.0
12014A391,2023,292050.0
12014A391,2023,290000.0
12014F091,2023,150500.0
12014F091,2023,135000.0
12021A00-,2023,177000.0
12021A00-,2023,177000.0
12021A02-,2023,200000.0
12021A02-,2023,200000.0
12021A02-,2023,189500.0
12021A03-,2023,190000.0
12021A03-,2023,190000.0
12021A03-,2023,209000.0
12021A101,2023,235000.0
12021A101,2023,235000.0
12021A101,2023,175000.0
12021A200,2023,285000.0
12021A200,2023,285000.0
12021A200,2023,256000.0
12021A301,2023,209000.0
12021A301,2023,209000.0
12021A301,2023,220000.0
12021A40-,2023,225000.0
12021A40-,2023,232500.0
12025A02-,2023,205000.0
12025A06-,2023,265000.0
12025A06-,2023,265000.0
12025A06-,2023,175000.0
12025A10-,2023,236000.0
12025A11-,2023,235000.0
12025A12-,2023,286250.0
12025A12-,2023,286250.0
12025A20-,2023,225000.0
12025A20-,2023,225000.0
12025A21-,2023,265000.0
12025A21-,2023,285000.0
12025A22-,2023,210000.0
12025A22-,2023,210000.0
12025A301,2023,237500.0
12025A301,2023,237500.0
12025A332,2023,265000.0
12025A332,2023,265000.0
12025A401,2023,277000.0
12025A401,2023,277000.0
12025A401,2023,280000.0
12025A42-,2023,290000.0
12025A42-,2023,290000.0
12025A462,2023,269000.0
12025A462,2023,269000.0
12025A50-,2023,264500.0
12025A50-,2023,270000.0
12025A521,2023,180000.0
12025A521,2023,180000.0
12025A620,2023,257000.0
12025A620,2023,257000.0
12025A620,2023,166225.0
12025A662,2023,285000.0
12025A662,2023,260000.0
12025A690,2023,441000.0
12025A70-,2023,205000.0
12025A70-,2023,205000.0
12025A912,2023,167500.0
12025A921,2023,260000.0
12025A921,2023,260000.0
12025A921,2023,271000.0
12025A942,2023,231564.0
12025A942,2023,231564.0
12025F00-,2023,249000.0
12026A01-,2023,244000.0
12026A040,2023,275000.0
12026A040,2023,309000.0
12026A040,2023,225064.0
12026A111,2023,237500.0
12026A122,2023,275000.0
12026A122,2023,275000.0
12026C000,2023,205000.0
12026C000,2023,215000.0
12026C10-,2023,232000.0
12026C112,2023,315000.0
12029A00-,2023,250000.0
12029A00-,2023,270000.0
12029A00-,2023,245750.0
12035A110,2023,270000.0
12035A200,2023,245000.0
12035A200,2023,245000.0
12040A01-,2023,222500.0
12040A01-,2023,222500.0
12040A411,2023,205000.0
12040A411,2023,205000.0
12040A422,2023,217000.0
12040A422,2023,223500.0
12040A512,2023,201250.0
12040A512,2023,210000.0
12040A512,2023,230000.0
12040C000,2023,275000.0
12040C000,2023,275000.0
13001A01-,2023,200000.0
13001A230,2023,234000.0
13003A101,2023,266000.0
13003A101,2023,266000.0
13004A101,2023,279000.0
13004A101,2023,262500.0
13008A030,2023,245000.0
13008A030,2023,245000.0
13008A030,2023,189000.0
13008A811,2023,218000.0
13008A900,2023,195000.0
13011A02-,2023,260000.0
13011A02-,2023,260000.0
13011A03-,2023,199000.0
13011A040,2023,195000.0
13011A100,2023,215000.0
13011A100,2023,228750.0
13011A200,2023,292500.0
13012A000,2023,239000.0
13012A000,2023,247000.0
13016A000,2023,299700.0
13016A01-,2023,249500.0
13025A00-,2023,187000.0
13025A01-,2023,260000.0
13025A03-,2023,200000.0
13025A30-,2023,185000.0
13025A30-,2023,190000.0
13025A50-,2023,250000.0
13025A50-,2023,259000.0
13025A60-,2023,198000.0
13025A700,2023,245000.0
13029A000,2023,245000.0
13031A000,2023,291000.0
13031A033,2023,290000.0
13031A033,2023,290000.0
13031A122,2023,455000.0
13031A122,2023,455000.0
13035A00-,2023,199000.0
13035A020,2023,220000.0
13036A000,2023,215000.0
13040A000,2023,190000.0
13040A000,2023,190000.0
13040A000,2023,173000.0
13040A021,2023,272500.0
13040A021,2023,249000.0
13040A031,2023,178500.0
13040A042,2023,167000.0
13040A051,2023,212500.0
13040A051,2023,225000.0
13040A100,2023,270000.0
13040A100,2023,275000.0
13040A112,2023,202500.0
13040A50-,2023,189500.0
13040A50-,2023,189500.0
13040A601,2023,175000.0
13040A613,2023,220000.0
13040A613,2023,220000.0
13040A613,2023,174000.0
13040A622,2023,150750.0
13040A700,2023,218000.0
13040A700,2023,227500.0
13040A700,2023,192000.0
13040A714,2023,200000.0
13040A714,2023,200000.0
13040A721,2023,259000.0
13040A721,2023,259000.0
13044A000,2023,272500.0
13044A000,2023,248000.0
13046A01-,2023,319750.0
13046A11-,2023,305000.0
21001A011,2023,185000.0
21001A120,2023,145000.0
21001A32-,2023,149000.0
21001A41-,2023,142500.0
21001A43-,2023,185000.0
21001A503,2023,149500.0
21001A51-,2023,150000.0
21001A552,2023,207000.0
21001A81-,2023,175000.0
21001A84-,2023,183500.0
21001A941,2023,163000.0
21001B21-,2023,165000.0
21001B25-,2023,131250.0
21002A21-,2023,195000.0
21002A43-,2023,265000.0
21003A02-,2023,185000.0
21003A10-,2023,175000.0
21003A312,2023,360000.0
21003A312,2023,360000.0
21004A02-,2023,206500.0
21004A20-,2023,210000.0
21004A21-,2023,190000.0
21004A23-,2023,248750.0
21004A24-,2023,219000.0
21004A25-,2023,270000.0
21004A32-,2023,129000.0
21004A33-,2023,188500.0
21004A35-,2023,183000.0
