zone_police;drogues;year
ZP BRUXELLES CAPITALE IXELLES;3376;2014
ZP MIDI;1662;2014
ZP BRUXELLES-OUEST;787;2014
ZP POLBRUNO;1314;2014
ZP UCCLE-W-B-AUDERGHEM;924;2014
ZP MONTGOMERY;537;2014
