CD_STAT_SECTOR,CD_YEAR,MS_P90,CD_TYPE_FR
11001A00-,2013,350000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11001A01-,2013,520000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002C42-,2013,192500.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002D34-,2013,385000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002E50-,2013,465000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002E521,2013,380000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002E551,2013,620000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002F61-,2013,236000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002H40-,2013,265000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002H83-,2013,223750.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002L000,2013,313000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002L100,2013,330000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002L122,2013,259000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P01-,2013,278000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P02-,2013,285000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P03-,2013,800000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P04-,2013,270000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P05-,2013,280000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P100,2013,455000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P21-,2013,390000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P23-,2013,365000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q001,2013,281000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q012,2013,203000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q04-,2013,265000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q10-,2013,299999.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q12-,2013,260000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q13-,2013,260000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q14-,2013,268000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q201,2013,322500.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R01-,2013,365000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R03-,2013,210000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R05-,2013,285000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R101,2013,220000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R12-,2013,199000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R13-,2013,240000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R24-,2013,307000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R31-,2013,252000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R33-,2013,300000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R401,2013,348000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R41-,2013,320000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R44-,2013,260000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002S00-,2013,340000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002S01-,2013,275000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002S02-,2013,245000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002S04-,2013,280000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002S30-,2013,300000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002S31-,2013,199900.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002T00-,2013,285000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002T03-,2013,395000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002T22-,2013,296000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002T23-,2013,306000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002U03-,2013,315000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002U11-,2013,1220000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002U20-,2013,270000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002U21-,2013,260000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002V01-,2013,290000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002V05-,2013,281500.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002V10-,2013,250000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002V11-,2013,260000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002V13-,2013,250000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002V14-,2013,245000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002V301,2013,210000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002_UNKNOWN,2013,500000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11004_UNKNOWN,2013,700000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11005A01-,2013,170000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11005A04-,2013,205000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11005A211,2013,345000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11005A30-,2013,209000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11007A03-,2013,310000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11007A04-,2013,360000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11008A020,2013,375000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11008A03-,2013,450000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11008A04-,2013,485000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11008A11-,2013,380000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11008A20-,2013,385000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11008A21-,2013,665000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11008A40-,2013,580000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11008A510,2013,2550000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11008_UNKNOWN,2013,730000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11009A222,2013,565500.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11009A5AA,2013,360000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11009C020,2013,430000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11009_UNKNOWN,2013,349000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11013A040,2013,395000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11013A101,2013,444000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11013A142,2013,410000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11016A042,2013,390000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11016A112,2013,425000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11016A501,2013,425000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11018A010,2013,265000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11018A021,2013,250750.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11018A101,2013,217500.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11018A111,2013,285000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11021A00-,2013,670000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11022A21-,2013,682500.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11022_UNKNOWN,2013,320000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11023A00-,2013,290000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11023A01-,2013,500000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11023A02-,2013,399000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11023A03-,2013,336500.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11023A04-,2013,325000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11023A10-,2013,306450.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11023A200,2013,920333.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11023B30-,2013,325000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11023B32-,2013,995000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11024A00-,2013,373500.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
