zone_police;secu_publiq;year
ZP BRUXELLES CAPITALE IXELLES;1698;2024
ZP MIDI;1200;2024
ZP POLBRUNO;816;2024
ZP BRUXELLES-OUEST;771;2024
ZP UCCLE-W-B-AUDERGHEM;388;2024
ZP MONTGOMERY;327;2024
