CD_STAT_SECTOR,CD_YEAR,MS_P25,CD_TYPE_FR
11001A00-,2013,190000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11001A01-,2013,255000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002C42-,2013,111000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002D34-,2013,245000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002E50-,2013,230000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002E521,2013,187500.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002E551,2013,269000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002F61-,2013,140000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002H40-,2013,120000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002H83-,2013,130000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002L000,2013,160000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002L100,2013,170000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002L122,2013,183050.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P01-,2013,187500.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P02-,2013,165000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P03-,2013,192000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P04-,2013,215000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P05-,2013,210000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P100,2013,260000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P21-,2013,290000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002P23-,2013,200000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q001,2013,132500.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q012,2013,155000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q04-,2013,183000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q10-,2013,135000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q12-,2013,170000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q13-,2013,161250.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q14-,2013,195000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002Q201,2013,200000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R01-,2013,180000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R03-,2013,146000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R05-,2013,190000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R101,2013,135000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R12-,2013,130000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R13-,2013,135000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R24-,2013,167500.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R31-,2013,184000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R33-,2013,207500.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R401,2013,217000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R41-,2013,220000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002R44-,2013,172000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002S00-,2013,162500.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002S01-,2013,129000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002S02-,2013,103000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002S04-,2013,156000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002S30-,2013,141500.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002S31-,2013,130000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002T00-,2013,144000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002T03-,2013,180000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002T22-,2013,170000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002T23-,2013,178000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002U03-,2013,155000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002U11-,2013,328000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002U20-,2013,170000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002U21-,2013,170420.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002V01-,2013,160000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002V05-,2013,147000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002V10-,2013,125000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002V11-,2013,145000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002V13-,2013,152000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002V14-,2013,135500.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002V301,2013,150000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
11002_UNKNOWN,2013,170000.0,"Toutes les maisons avec 2, 3, 4 ou plus de façades (excl. appartements)"
