CD_STAT_SECTOR,MS_P50 (MEDIAN_PRICE),CD_YEAR,CD_TYPE_FR
11008A510,1285000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
11009A20-,415000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
11009A222,555000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
11009A5AA,360000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
11022A21-,702500.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
11023A200,735000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
11023B32-,572500.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
11039A21-,670000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
11039B02-,675000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
11040A11-,775000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
11055B110,603000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
12014A391,400000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
12014F091,312500.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
13003A101,303500.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
13004A101,340000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
13025A50-,278000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
13031A122,646500.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
21016A342,1623000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
23003B02-,615000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
23062A421,695000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
23094C041,530000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
23103A20-,747500.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
24048A012,495000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
24048A034,822500.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
24055D312,654500.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
24109A21-,380000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
24109B09-,377000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
25018C112,495000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
25091A031,500000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
25091A20-,480000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
25110A631,900000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
31043D01-,1302750.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
34022D121,482500.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
38014A21-,562500.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
42023A41-,750000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
44012A011,415000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
44013B031,599000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
44021L011,497000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
44036A022,407500.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
46024A262,252000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
46025C091,248000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
56029A1AJ,59000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
71011A622,350000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
71016A4OB,293500.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
72020A100,288750.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
72020A826,320000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
72021B022,255000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
72025A01-,345000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
72025B00-,380000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
72037A032,332500.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
72037B001,387000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
72038B00-,285000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
72039B001,340000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
83012E263,214000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
83013C391,177500.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
83044D362,99000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
84068C090,102500.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
91142A464,34500.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
91142D163,80000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
92094L10-,320000.0,2023,Maisons avec 4 ou plus de façades (type ouvert)
