CD_STAT_SECTOR,MS_P50 (MEDIAN_PRICE),CD_YEAR,CD_TYPE_FR
11002A00-,182000.0,2013,Appartements
11002A04-,190000.0,2013,Appartements
11002A05-,152000.0,2013,Appartements
11002A10-,219250.0,2013,Appartements
11002A11-,167000.0,2013,Appartements
11002A12-,163718.0,2013,Appartements
11002A13-,140000.0,2013,Appartements
11002A14-,229000.0,2013,Appartements
11002A22-,255000.0,2013,Appartements
11002B71-,152500.0,2013,Appartements
11002B721,174500.0,2013,Appartements
11002B813,170750.0,2013,Appartements
11002C21-,141000.0,2013,Appartements
11002C22-,86500.0,2013,Appartements
11002C23-,109500.0,2013,Appartements
11002C24-,133500.0,2013,Appartements
11002C25-,165000.0,2013,Appartements
11002C31-,240000.0,2013,Appartements
11002D30-,127500.0,2013,Appartements
11002D31-,145000.0,2013,Appartements
11002D32-,137500.0,2013,Appartements
11002D33-,202500.0,2013,Appartements
11002D34-,133500.0,2013,Appartements
11002D41-,77000.0,2013,Appartements
11002D42-,151500.0,2013,Appartements
11002E122,220000.0,2013,Appartements
11002E131,275000.0,2013,Appartements
11002E14-,192000.0,2013,Appartements
11002E15-,156000.0,2013,Appartements
11002E50-,173900.0,2013,Appartements
11002E53-,127500.0,2013,Appartements
11002E551,127000.0,2013,Appartements
11002F21-,150000.0,2013,Appartements
11002F65-,123000.0,2013,Appartements
11002G51-,199000.0,2013,Appartements
11002G53-,154000.0,2013,Appartements
11002G54-,190000.0,2013,Appartements
11002G72-,137500.0,2013,Appartements
11002G73-,119000.0,2013,Appartements
11002H43-,136750.0,2013,Appartements
11002J85-,222500.0,2013,Appartements
11002P04-,155000.0,2013,Appartements
11002Q001,107000.0,2013,Appartements
11002Q03-,130000.0,2013,Appartements
11002Q04-,131000.0,2013,Appartements
11002Q10-,134000.0,2013,Appartements
11002Q13-,125000.0,2013,Appartements
11002Q201,143000.0,2013,Appartements
11002Q212,127000.0,2013,Appartements
11002R01-,145000.0,2013,Appartements
11002R03-,116750.0,2013,Appartements
11002R101,102500.0,2013,Appartements
11002R110,125000.0,2013,Appartements
11002R13-,114000.0,2013,Appartements
11002R19-,101000.0,2013,Appartements
11002R20-,134000.0,2013,Appartements
11002R21-,135000.0,2013,Appartements
11002R22-,120000.0,2013,Appartements
11002R23-,153000.0,2013,Appartements
11002R24-,130000.0,2013,Appartements
11002R31-,145000.0,2013,Appartements
11002R33-,115000.0,2013,Appartements
11002R35-,129500.0,2013,Appartements
11002R401,129000.0,2013,Appartements
11002R43-,167000.0,2013,Appartements
11002S00-,107000.0,2013,Appartements
11002S01-,97500.0,2013,Appartements
11002S02-,125000.0,2013,Appartements
11002S03-,126250.0,2013,Appartements
11002S04-,95000.0,2013,Appartements
11002S05-,87500.0,2013,Appartements
11002S10-,120000.0,2013,Appartements
11002S11-,121500.0,2013,Appartements
11002S12-,124500.0,2013,Appartements
11002S42-,124000.0,2013,Appartements
11002T02-,117000.0,2013,Appartements
11002T04-,158000.0,2013,Appartements
11002T10-,167500.0,2013,Appartements
11002T111,136750.0,2013,Appartements
11002T13-,178000.0,2013,Appartements
11002T14-,162000.0,2013,Appartements
11002T20-,125000.0,2013,Appartements
11002T412,187000.0,2013,Appartements
11002T42-,164500.0,2013,Appartements
11002U00-,149500.0,2013,Appartements
11002U01-,169250.0,2013,Appartements
11002U10-,155000.0,2013,Appartements
11002U20-,134650.0,2013,Appartements
11002U30-,170000.0,2013,Appartements
11002U33-,171000.0,2013,Appartements
11002V00-,115000.0,2013,Appartements
11002V01-,120000.0,2013,Appartements
11002V10-,152500.0,2013,Appartements
11002V11-,110000.0,2013,Appartements
11002_UNKNOWN,215000.0,2013,Appartements
11004A01-,181250.0,2013,Appartements
11005A00-,115000.0,2013,Appartements
11007A03-,165000.0,2013,Appartements
11007A04-,150000.0,2013,Appartements
11008A020,187000.0,2013,Appartements
11013A02-,169000.0,2013,Appartements
11029A00-,158000.0,2013,Appartements
11029A14-,161250.0,2013,Appartements
11029A201,148000.0,2013,Appartements
11030A00-,161000.0,2013,Appartements
11040A00-,189000.0,2013,Appartements
11040A03-,185000.0,2013,Appartements
11040A201,156000.0,2013,Appartements
11044B022,152000.0,2013,Appartements
11056B00-,199000.0,2013,Appartements
12021A03-,197894.0,2013,Appartements
12025A031,175000.0,2013,Appartements
12025A06-,140000.0,2013,Appartements
12025A10-,125000.0,2013,Appartements
12025A332,135000.0,2013,Appartements
12025A620,129000.0,2013,Appartements
12025A912,125500.0,2013,Appartements
13008A900,168900.0,2013,Appartements
13011A03-,150000.0,2013,Appartements
13011A040,193000.0,2013,Appartements
13040A721,139750.0,2013,Appartements
21001A30-,130000.0,2013,Appartements
21001A32-,110000.0,2013,Appartements
21001A41-,133000.0,2013,Appartements
21001A503,123708.0,2013,Appartements
21001A80-,157000.0,2013,Appartements
21001A81-,175000.0,2013,Appartements
21001A911,122500.0,2013,Appartements
21001A92-,161500.0,2013,Appartements
21001A941,140000.0,2013,Appartements
21001A95-,163500.0,2013,Appartements
21002A21-,225000.0,2013,Appartements
21002A43-,260000.0,2013,Appartements
21002A53-,165000.0,2013,Appartements
21003A02-,157000.0,2013,Appartements
21003A10-,160000.0,2013,Appartements
21004A20-,230000.0,2013,Appartements
21004A21-,172500.0,2013,Appartements
21004A23-,215000.0,2013,Appartements
21004A24-,205000.0,2013,Appartements
21004A25-,243750.0,2013,Appartements
21004A34-,164750.0,2013,Appartements
21004A811,221500.0,2013,Appartements
21004B421,216250.0,2013,Appartements
21004B43-,225000.0,2013,Appartements
21004B44-,180000.0,2013,Appartements
21004C51-,184500.0,2013,Appartements
21004C52-,345000.0,2013,Appartements
21004C54-,372500.0,2013,Appartements
21004C552,339250.0,2013,Appartements
21004C63-,298500.0,2013,Appartements
21004D672,110000.0,2013,Appartements
21004E130,165000.0,2013,Appartements
21004E201,169750.0,2013,Appartements
21004E222,135000.0,2013,Appartements
21004E72-,144000.0,2013,Appartements
21004E74-,136000.0,2013,Appartements
21004E81-,166000.0,2013,Appartements
21004E83-,151000.0,2013,Appartements
21004F522,207000.0,2013,Appartements
21004F531,151750.0,2013,Appartements
21004F91-,172500.0,2013,Appartements
21004_UNKNOWN,213500.0,2013,Appartements
21005A00-,244150.0,2013,Appartements
21005A01-,145000.0,2013,Appartements
21005A042,208500.0,2013,Appartements
21005A051,195500.0,2013,Appartements
21005A11-,190000.0,2013,Appartements
21005A12-,143500.0,2013,Appartements
21005A14-,295000.0,2013,Appartements
21005A20-,195000.0,2013,Appartements
21005_UNKNOWN,361000.0,2013,Appartements
21006A052,165000.0,2013,Appartements
21006A101,155000.0,2013,Appartements
21006A22-,165000.0,2013,Appartements
21006A23-,166000.0,2013,Appartements
21006A403,172500.0,2013,Appartements
21006A414,208000.0,2013,Appartements
21007A00-,147000.0,2013,Appartements
21007A101,157000.0,2013,Appartements
21007A142,157500.0,2013,Appartements
21007A201,190000.0,2013,Appartements
21007A239,200000.0,2013,Appartements
21007A50-,150000.0,2013,Appartements
21007A53-,155000.0,2013,Appartements
21007A61-,175000.0,2013,Appartements
21007A70-,200000.0,2013,Appartements
21007A72-,200000.0,2013,Appartements
21007A73-,187500.0,2013,Appartements
21008A10-,155000.0,2013,Appartements
