zone_police;vol
ZP BRUXELLES CAPITALE IXELLES;33698
ZP MIDI;14450
ZP BRUXELLES-OUEST;9015
ZP POLBRUNO;7535
ZP UCCLE-W-B-AUDERGHEM;5984
ZP MONTGOMERY;5894
