CD_STAT_SECTOR,MS_P50 (MEDIAN_PRICE),CD_YEAR,CD_TYPE_FR
11005A04-,120000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11005A211,220000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11005A30-,170000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11007A03-,200000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11007A04-,265000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11008A020,301783.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11008A03-,275000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11008A40-,273000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11013A040,265000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11013A101,292000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11013A142,263000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11018A010,205750.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11018A021,165000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11018A101,120000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11018A111,198750.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11021A00-,267500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11023A00-,204750.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11023A03-,201250.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11023A10-,247000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11023B30-,229000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11024A00-,249000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11029A00-,231500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11029A02-,270000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11029A10-,248000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11029A11-,277500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11029A201,247500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11030A00-,181000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11030A01-,187500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11030A02-,172500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11038A010,225000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11040A040,240000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11040A050,251500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11040A060,202500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11040A10-,257000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
