CD_STAT_SECTOR,MS_P50 (MEDIAN_PRICE),CD_YEAR,CD_TYPE_FR
21006A23-,233500.0,2023,Appartements
21006A403,267000.0,2023,Appartements
21006A414,280000.0,2023,Appartements
21007A071,295000.0,2023,Appartements
21007A142,210000.0,2023,Appartements
21007A21-,260000.0,2023,Appartements
21007A239,301000.0,2023,Appartements
21007A242,245250.0,2023,Appartements
21007A50-,267000.0,2023,Appartements
21007A52-,272000.0,2023,Appartements
21007A53-,270000.0,2023,Appartements
21007A60-,250000.0,2023,Appartements
21007A61-,230000.0,2023,Appartements
21007A70-,279500.0,2023,Appartements
21007A72-,278000.0,2023,Appartements
21007A73-,378500.0,2023,Appartements
21008A10-,200000.0,2023,Appartements
21008A20-,195000.0,2023,Appartements
21008A21-,225000.0,2023,Appartements
21008A240,208000.0,2023,Appartements
21008A32-,240000.0,2023,Appartements
21009A00-,280000.0,2023,Appartements
21009A01-,266500.0,2023,Appartements
21009A041,295000.0,2023,Appartements
21009A111,332000.0,2023,Appartements
21009A21-,280000.0,2023,Appartements
21009A22-,300000.0,2023,Appartements
21009A23-,430000.0,2023,Appartements
21009A301,315000.0,2023,Appartements
21009A33-,370000.0,2023,Appartements
21009A40-,360000.0,2023,Appartements
21009A41-,225000.0,2023,Appartements
21009A42-,500000.0,2023,Appartements
21009A44-,375000.0,2023,Appartements
21009A451,353750.0,2023,Appartements
21009A53-,340000.0,2023,Appartements
21009A542,293000.0,2023,Appartements
21009A612,298000.0,2023,Appartements
21009A63-,435000.0,2023,Appartements
21009A652,400000.0,2023,Appartements
21009A73-,407500.0,2023,Appartements
21009A82-,400000.0,2023,Appartements
21010A00-,259500.0,2023,Appartements
21010A01-,184000.0,2023,Appartements
21010A02-,213500.0,2023,Appartements
21010A03-,224500.0,2023,Appartements
21010A04-,185250.0,2023,Appartements
21010A05-,197500.0,2023,Appartements
21010A10-,203500.0,2023,Appartements
21010A111,190250.0,2023,Appartements
21010A13-,152000.0,2023,Appartements
21010A141,230000.0,2023,Appartements
21010A1AJ,288000.0,2023,Appartements
21010A21-,235000.0,2023,Appartements
21011A01-,175000.0,2023,Appartements
21011A10-,220000.0,2023,Appartements
21011A11-,240000.0,2023,Appartements
21011A12-,240500.0,2023,Appartements
