CD_SECTOR;POPULATION;TX_DESCR_SECTOR_FR
J94-;203;LEUGENBERG-ZUID (EKEREN)
K171;51;ALBERTDOK
K172;0;MARSHALL-EN INDUSTRIEDOK ESSO
K173;12;LEOPOLDDOK FORD-FABRIEKEN
K174;2;LUITHAGEN FORD-FABRIEKEN
K175;3;CHURCHILLDOK-G. M. CONTIN.
K1MN;1;WALENHOEK ANTWERPEN-NOORD (VORMINGSSTATION)
K214;35;LILLO - FORT
K271;1;DISTRICT LILLO TUNNEL-NOORD
K272;2;DISTRICT LILLO TUNNEL-ZUID
K2MN;0;DISTRICT LILLO TUNNEL-ZUID
L000;2047;ZANDVLIET-KERN(ZANDVL.-5 DIST)
L011;1373;STALSHOEK(ZANDVLIET-5 DISTR. )
L022;174;GROTE RUIGEHEIDE(ZANDVL.-5DIS)
L070;0;HAVENGEBIED (ZANDVLIET-5 DIS)
L090;198;NOORDLAANPOLDER-VERSPR. BEW. (ZANDVLIET - 5 DISTRICT)
L100;2833;BERENDRECHT - KERN (BERENDRECHT - 4 DISTRICT)
L111;953;STEENHOVENSTRAAT (BERENDRECHT - 4 DISTRICT)
L122;2122;VISWATER(BERENDRECHT - 4 DIST)
L17-;0;HAVENGEBIED(BERENDRECHT - 4 D)
L18-;84;KRAAIENBERG(BERENDRECHT - 4 D)
M0MA;0;SCHELDE - CONTAINERTERMINAL
M0PA;0;SCHELDE
P00-;1573;EKEREN-CENTRUM
P01-;2144;EKEREN-DORP
P02-;1512;SCHOONBROEK
P03-;2840;DE GEESTEN
P04-;2444;HET ZAND
P05-;719;LEERHOEKSLAAN
P09-;0;VELTWIJCK
P100;2109;MARIABURG
P111;1403;DE BIST
P12-;879;DE NOTESCHELP
P192;0;HOGE BIST
P20-;1277;HOEKAKKER
P21-;1159;LUCASWIJK
P22-;1054;PRINSHOEVELAND
P23-;1960;LAGE BIST
P242;200;KLAVERVELDEN
P291;0;LAAR
P392;2;VLOEIENDE
P500;1195;LEUGENBERG
P589;161;DE HOEKX
P590;113;KROMMESTR.- AKKER - BREDESTR.- VELDEN
Q001;3768;OUD MERKSEM
Q012;3484;MERKSEM-CENTRUM
Q021;918;LAATLOS
Q03-;3189;GAGELVELDEN
Q04-;2448;KLUIZEVELDEN
Q052;842;EIGEN HEERD
Q072;172;DUIVELSHOEK
Q091;38;PARK
Q10-;3082;OUDE BAREEL
Q11-;1453;MERKSEMHEIDE
Q12-;4165;KROONWIJK
Q13-;3025;MELGESDREEF
Q14-;2987;TUINWIJK
Q17-;102;MERKSEM-DOKKEN
Q201;6231;LAMBRECHTSHOEKEN
Q212;2673;LAARSE BAAN-WEST
Q222;459;RIETSCHOORVELDEN
Q233;1432;LAARSE BAAN-OOST
Q241;10;KRUISBAANVELDEN
Q242;811;KRUISBAANVELDEN
Q2AA;1571;'T LAAR
Q2PA;22;'T LAAR
Q30-;259;KLEINE BAREEL
Q39-;0;'T FORT
Q49-;7;SPORTPALEIS
R00-;746;DEURNE - GEMEENTEHUIS
R01-;2668;PLANKENBERG
R02-;1234;DEURNE-HET DORP
R03-;4059;GALLIFORT
R04-;1721;KREGLINGER
R05-;2653;TER RIVIEREN
R099;26;RIVIERENHOF-NOORD
R101;5604;KRONENBURG
R110;4845;BISSCHOPPENHOF
R12-;3659;CONFORTA
R13-;6069;TEN EEKHOVE
R172;53;KANAAL
R180;1107;BREM
R19-;1023;KRUININGE
R20-;4100;VENNEBORG
R21-;3268;MORTELHOEK
R22-;1412;ERTBRUGGE
R23-;3214;ZWARTE AREND
R24-;2814;SCHOTENSTEENWEG
R28-;0;RUGGEVELD
R29-;0;ERTBRUGGE VELD
R30-;1456;'T MESTPUTTEKE
R31-;4252;DRIEKONINGEN
R32-;1999;ARENA
R33-;2994;KRIEKENHOF
R34-;1537;MUGGENBERG
R35-;2621;MORKHOVEN
R39-;29;BOTERLAARHOF
R401;2917;BOEKENBERG
R41-;2358;DRAKENHOF
R42-;1222;BOEKENBERGLEI
R43-;2092;EKSTERLAAR
R44-;2497;BOTERLAAR - SILSBURG
R47-;111;VLIEGVELD
R482;3;BOEKENBERGPARK
S00-;4811;BORGERHOUT - GEMEENTEHUIS
S01-;3588;FONTEINSTRAAT
S02-;3359;DEN BLEEKHOF
S03-;2526;KROONSTRAAT-WEST
S04-;4032;HET LAAR
S05-;2414;KATTENBERG
S10-;1562;STENENBRUG-ZUID
S11-;3004;COLLEGE
S12-;2491;VAN DE PERRELEI
S13-;1078;BOELAERPARK-NOORD
S19-;4;TE BOELAERPARK
S20-;701;FOORPLEIN
S28-;0;DEURNE - HUISKENS
S2MJ;690;E3 - E39
S30-;4153;DE PEPERBUS
S31-;4540;ST.-ANNA
S41-;2208;LABORATORIUM
S42-;2889;GITSCHOTEL
S43-;1604;CRUYSLEI
T00-;3581;OP TEN BERGH
T01-;2502;POSTHOF
T02-;1420;HOFVELD
T03-;2435;STUIVENBERG
T04-;1820;OUDE JUSTITIE
T05-;2270;TURKEYEN
T09-;531;VESTINGEN
T10-;2182;RUYTENBURG
T111;3194;FRUITHOF
T12-;1714;OUDE BAEN
T13-;2109;MOLENVELD
T14-;2522;DE VELDEKENS
T180;618;ROOY
T19-;0;DE SCHOM
T20-;3986;GITSCHOTEL
T21-;1797;VOSSTRAETE
T22-;2142;GROENENHOEK
T23-;1372;BERCHEMBOS
T24-;711;TUINWIJK
T25-;473;HET PRIEEL
T30-;1814;ZURENBORG
T39-;24;OOSTKWARTIER
T412;1640;ZILVERBEEK
T42-;1828;DE ZEPTEN
U00-;2953;WILRIJK-CENTRUM
U01-;2965;YPERMAN - STEYTELINCK
U02-;3085;OVERSNES - DUIVELSHOEK
U03-;2533;KOORNBLOEM
U09-;83;SLIJKHOEK - FORT 6
U10-;3271;HONDSNEST - MOLENVELD
U11-;2036;PARKWIJK
U20-;5778;VALAAR - DE BREM
U21-;3575;DE BRUYNLAAN-ZUID
U22-;1380;DE BRUYNLAAN-NOORD
U30-;3092;OOSTERVELD
U31-;1145;ELSDONK-OOST
U32-;1266;ELSDONK-WEST
U33-;2668;SINT-AUGUSTINUS
U40-;2051;EDEN
U41-;752;U.I.A. VOORJAARSSTRAAT
U43-;851;GALLAITLAAN
