CD_SECTOR;POPULATION;TX_DESCR_SECTOR_FR
A323;1037;BOMMELBEEK
A334;1054;NOORWEGSE KAAI
A342;424;KRUISABELE
A37-;489;DOKKEN
A391;17;TEN BERGE
A401;2091;GEZELLEKWARTIER
A412;1792;KARTUIZERSWIJK
A423;541;PUTTERIE
A501;2025;GENTWEG
A512;1867;ASTRIDPARK
A60-;1596;SMEDENPOORT
A61-;715;BEGIJNHOFBUURT
A671;257;INDUSTRIEPARK
A701;2460;SINT-GILLIS
A712;1333;BLOEDPUT
A723;1957;SINT-JOZEF KLINIEK
B00-;584;LISSEWEGE-CENTRUM
B01-;934;OPPERHOF
B080;207;LISSEWEGE-VERSPREIDE BEWONING
B092;46;ZEELAAN
B400;1795;ZEEBRUGGE - DORP
B410;852;ZEEBRUGGE - MIJN
B42-;604;ZEEBRUGGE - STATION
B479;3;ZEEBRUGGE POLDER - STROOIEN
B480;0;KANAAL-WEST ( HEIST )
B50-;671;ZWANKERDAMME
B571;1;MIL.DOM.-ZEEBRUGGE-HAVENGEBIED
B70-;828;ZEEBRUGGE - DE MOLE
B771;3;BUITENHAVEN
B7MA;10;BRAAMBEIERHOEK
B7PA;754;ZEEWEGE
C00-;675;DUDZELE-CENTRUM
C01-;648;WATERGANG
C023;40;STATIESTRAAT
C091;967;DUDZEDE-VERSPR. BEWONING-ZUID
C0MA;0;PEAK-SHAVING
C0PA;14;ACHTERHAVEN
C112;170;KRUISABELE
D00-;473;KOOLKERKE-CENTRUM
D011;718;ROMBAUTS - WIJK
D09-;582;KOOLKERKE-VERSPREIDE BEWONING
D112;1547;KOOLKERKE-ZUID-OOST
E001;2010;SINT-KRUIS - CENTRUM
E01-;956;'T FORTUINTJE - VELTEM
E021;917;DE MOTE
E030;469;POLDERHOEK
E042;1986;SINT-KRUIS - KRUISPORT
E052;932;FORTUINSTRAAT
E091;173;DEN BROUCK
E100;1443;DE LINDE
E112;1068;MALEHOEK-WEST
E123;2247;MALEHOEK
E194;108;MALEVELD - DOOLHOF
E20-;1268;VOSSENSTEERT
E301;793;DAMPOORT
E312;1599;BLAUW HUIS
F001;954;VERRE ASSEBROEK
F011;496;ENGELENDALELAAN
F022;1450;MEERSENSTRAAT
F033;979;'T LEITJE
F082;51;WEIDEBEEK
F090;107;ASSEBROEKSE MEERSEN
F101;1125;ASSUMPTA
F182;367;DAVERLOO
F20-;1170;STEENBRUGGE
F210;1699;ZEVENTOREN
F22-;1099;TIRE
F301;2440;SINT-KATARINA - KATELIJNEPOORT
F311;716;RUBENSLAAN
F322;738;BRUGSE KERKHOF
F332;2273;'T PEERDJE
F401;2905;ZEVEKOTE
F412;654;RIJKSSPORTCENTRUM
F510;350;LUTGARDIS
G001;1245;SINT-MICHIELS-CENTRUM
G010;1701;KAAS EN BROOD - DOORNHAAG
G099;166;STUIVENBERG
G17-;107;BRUGEOISE
G201;982;GODELIEVE - KERK
G212;2469;STOKVELDEWIJK
G283;468;BOUDEWIJNPARK
G311;430;DE GALGE
G322;224;KAPELLEWEG
G33-;1242;VOGELZANG
G349;526;TILLEGEM
G402;651;XAVERIANEN
G41-;1239;DRIEHOEK
G423;559;'T SPEELHOF
G4MJ;91;ZWANEKERKE
H001;2356;SINT-ANDRIES - CENTRUM
H011;726;SCHAAPSKLAUW
H021;616;PASTORIESTRAAT
H042;842;MOLENDORP
H052;2066;KOUDE KEUKEN
H083;262;OLYMPIAPARK
H0PN;398;NOORDVELDE
H101;3800;SINT-BAAFS
H11-;1265;LANGE VESTING
H122;1101;SANDERSKWARTIER
H133;1621;NOORDVELD KASTEEL
H142;435;MANITOBALAAN
H170;70;WAGGELWATER
H190;38;TER LUCHT - TER WIND
H201;1580;LEOPOLDWIJK
H210;2211;ZEVENBERGEN
H382;48;ABDIJ ZEVENKERKE
H391;225;SINT-ANNA IN DE WOESTIJN
H490;40;SPEIEN
ZZZZ;1;NON LOCALISABLE DANS UN SECTEUR
A00-;336;DAMME-KERN
A082;156;STAMPERSHOEK
A099;257;DAMME-VERSPREIDE BEWONING
A183;45;PLATHEULE
B40-;354;VIVENKAPELLE-KERN
B495;113;VIVENKAPELLE-VERSPR. BEWONING
C00-;91;OOSTKERKE-DORP
C012;94;EIENBROEK
C099;395;OOSTKERKE-VERSPREIDE BEWONING
C10-;60;HOEKE
D00-;134;LAPSCHEURE-KERN
D099;226;LAPSCHEURE-VERSPREIDE BEWONING
E00-;1565;MOERKERKE-CENTRUM
E0PN;726;MOERKERKE-RAND
E10-;932;DE HOORN
E19-;233;KANAAL-NOORD-VERSPR. BEWONING
F00-;1489;SIJSELE-CENTRUM
F01-;288;GENTSESTEENWEG
F02-;795;ZWAAN
F03-;1705;SIJSELEVELD
F082;533;SIJSELE-VERSPR. BEWONING-ZUID
F091;318;SIJSELE-VERSPR. BEWONING-NOORD
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;849;JABBEKE-CENTRUM
A01-;650;ZWIJNHOEK
A02-;1187;MOLENHOEK
A030;901;FLAMINCKA - PARK
A04-;251;LETTENBURG
A091;307;JABBEKE-VERSPR. BEWONING-ZUID
A0JA;204;RECREATIE
A0PA;262;JABBEKE NOORD
B00-;627;ZERKEGEM-KERN
B01-;411;MOLENHOEK
B082;163;NOORDHOEKHOF
B091;520;ZERKEGEM-VERSPR. BEWONING-ZUID
C00-;358;STALHILLE-KERN
C09-;324;STALHILLE-VERSPREIDE BEWONING
D00-;948;VARSENARE-CENTRUM
D02-;1310;GISTELSTRAAT - NACHTEGALEN - TAFELDIJCKEN
D03-;801;STATIONSSTRAAT
D043;492;GROENWALL - PROVENHOF
D082;47;NIEUWWEGE
D091;566;VARSENARE-VERSPREIDE BEWONING
D0AP;950;GROTE THEMS
E000;595;SNELLEGEM-KERN
E08-;2;MILITAIR DOMEIN
E091;930;SNELLEGEM - KOUTER - DE BATS
E113;127;AUTOSTRADE
E182;74;NOORDHOEK - KWETSHAGE
ZZZZ;1;NON LOCALISABLE DANS UN SECTEUR
A000;2115;OOSTKAMP-CENTRUM
A011;627;GRUUTHUYSE
A02-;1109;MACIEBERG
A03-;1657;ZWARTE GAT
A04-;913;STUIVENBERGE
A053;83;VALKAART
A072;9;SIEMENS
A082;246;OOSTKAMP-VERSPR. BEW.-ZUIDOOST
A091;274;OOSTKAMP-VERSPR.BEW.-NOORDOOST
A10-;706;MOERBRUGGE
A1MA;56;LIEVERSTEDE
A1PA;388;MOERBRUGGE
A20-;1139;STEENBRUGGE - KEVERGEM
A21-;377;STEENBRUGGE
A413;2795;NIEUWENHOVE
A42-;509;ERKEGEM
A484;288;BREIDELS
A4MA;35;KAMPVELD
A4PA;67;NIEUWENHOVE
B00-;823;HERTSBERGE - KERN
B012;545;BULSKAMPVELD
B091;555;HERTSBERGE-VERSPREIDE BEWONING
C00-;565;RUDDERVOORDE-CENTRUM
C010;477;KRUISKALSIJDE
C02-;1103;LEEGTE
C03-;383;MOLENHOEK
C08-;706;SIJSLO
C090;958;RUDDERVOORDE-VERSPR. BEWONING
C10-;795;BALIEBRUGGE
C19-;701;BERGEN
D001;943;WAARDAMME-KERN
D012;450;DE VIJVERS
D09-;627;WAARDAMME-VERSPREIDE BEWONING
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A001;1290;TORHOUT-KERN
A011;744;RIJSELSTRAAT
A02-;532;BEKHOF
A03-;1472;LEOPOLDSWIJK
A041;471;KAREL DE STOUTELAAN
A052;315;TORHOUT-CENTRUM-NOORD
A072;473;INDUSTRIEPARK
A09-;611;SLARIN
A10-;2047;STATION
A111;1274;SCHAVELARE
A122;301;BRESKENS
A132;999;NACHTEGAAL
A182;170;VOSSEBERG
A191;303;GROENHOVE
A201;1553;REVINSE-NOORD
A21-;283;OOSTENDESTRAAT
A22-;438;'T HOGE
A232;784;REVINSE-ZUID
A29-;126;MAAGDEVELD
A31-;560;WIJNENDALEDORP
A39-;210;WIJNENDALEVELD
A40-;710;VERLOREN KOST
A411;451;DRIEKONINGEN
A42-;377;BERG-OP-ZOOM
A482;95;SCHRIJVERSVELD
A501;867;KORENBLOEM - VILBELUIK - POTTEBEZEMHOEK
A592;178;BERGEN
A60-;583;SINT-HENRICUS
A69-;492;LANGENHOEK
B300;1094;WIJNENDALE - KERN
B322;299;SCHOOL- EN STEENSTRAAT
B33-;293;SPARAPPEL
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A001;995;ZEDELGEM-CENTRUM
A01-;614;NOORD - WANDELING
A022;673;GROENE MEERSEN
A032;1195;DE LINDE
A089;9;MILITAIR DOMEIN
A091;1588;ZEDELGEM-VERSPREIDE BEWONING
A10-;275;ZUIDWEGE
A111;778;DE LEEUW
A12-;778;SOMERSVELD
A132;477;SOMERSVELDHOEVE
B00-;1346;LOPPEM-CENTRUM
B01-;1379;SINT-ANDRIESHOEK
B021;297;VIJVERKASTEEL
B032;422;SCHEUREMANS WIJK
B082;328;LOPPEM -VERSPR. BEW.-NOORD
B091;1082;LOPPEM -VERSPR. BEW.-ZUID
B111;195;PIERLAPONTHOEK
B192;58;PIERLAPONTHOEK -VERSPR. BEW.
C000;2272;VELDEGEM-CENTRUM
C01-;803;LEPE
C082;438;VELDEGEM -VERSPR. BEW.-ZUID
C091;1520;VELDEGEM -VERSPR. BEW.-NOORD
D001;753;AARTRIJKE-CENTRUM-KERN
D012;1008;AARTRIJKE NIEUWE WIJK
D023;844;DE ENGEL
D091;1464;AARTRIJKE-VERSPR. BEW.-NOORD
D192;341;AARTRIJKE-VERSPR. BEW.-ZUID
D21-;366;VELD
ZZZZ;1;NON LOCALISABLE DANS UN SECTEUR
A00-;452;ZUIENKERKE-KERN
A091;616;ZUIENKERKE-VERSPREIDE BEWONING
A112;393;KRAMPENKAPEL
B00-;256;MEETKERKE-KERN
B09-;156;MEETKERKE-VERSPREIDE BEWONING
C00-;125;HOUTAVE-KERN
C09-;298;HOUTAVE-VERSPREIDE BEWONING
D00-;96;NIEUWMUNSTER-KERN
D091;226;NIEUWMUNSTER-VERSPR. BEWONING
D112;122;LEKKERBEK
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;2583;KNOKKE-DORP
A01-;654;MAGERE SCHORRE
A021;1252;DE KEUVELHOEK
A03-;709;SPORT- EN OPENLUCHTCENTRUM
A04-;852;STATION
A052;784;HET KALF
A090;144;HAZEGRAS - DE VREDE
A10-;2035;KNOKKE - CENTRUM
A11-;881;KNOKKE - ZEEDIJK - HET ZOUTE
A12-;1157;KNOKKE HEILIG HART
A13-;1505;ALBERTSTRAND
A14-;679;ELISABETHLAAN - HET ZOUTE
A15-;521;DE LAC
A20-;759;BRONLAAN - HET ZOUTE
A210;294;SPARREBOS - GOLF
A30-;192;OOSTHOEK ( KNOKKE )
A39-;33;HET ZWIN
B00-;1283;HEIST-CENTRUM
B01-;751;WESTKAPELLESTRAAT-NOORD
B02-;1021;MOLENHOEK - STATION
B03-;1774;DE BOLLE
B04-;1127;TUINWIJK
B08-;2;DIR. GEN. WILLEMSPARK
B0PN;426;HEIST-POLDERS-VERSPR.BEW.
B10-;1857;HEIST - ZEEDIJK
B20-;833;DUINBERGEN-KERN
B21-;620;DUINBERGEN-CENTER
B22-;625;DUINBERGEN - WATERWINNING
B23-;525;DUINBERGEN - ALBERTSTRAND
B302;1555;KIJKDORP
B31-;539;OOSTHOEK HEIST - KROMMEDIJK
C00-;508;RAMSKAPELLE-DORP
C099;219;PELIKAAN
D00-;1129;WESTKAPELLE-DORP
D01-;1400;KALVERKEETDIJK-ZUID
D02-;277;PALINGPOT - HOEKESTRAAT
D03-;1253;DRIEWEGE - KRAGENDIJK
D0MA;81;KNOKKE-HEIST KALVE
D0PA;717;WESTKAPELLE-VERSPR.BEWONING
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A001;776;DIKSMUIDE-CENTRUM
A01-;478;SCHEPENDOM
A021;1215;TUINWIJK
A03-;430;IJZERLAAN
A042;793;BLOEMMOLENS
A053;1394;OOSTVESTEN
A072;54;HEERNISSE
A091;121;DIKSMUIDE-VERSPREIDE BEWONING
A10-;370;ESEN-KERN
A11-;250;ROESELARESTRAAT
A12-;224;DIKSMUIDESTRAAT - EIKHOF
A19-;629;ESEN-VERSPREIDE BEWONING
A20-;274;KAASKERKE-KERN
A29-;216;KAASKERKE-VERSPREIDE BEWONING
A312;885;ZONNESTRAAL
B000;898;BEERST - DORPSPLAATS - HOOGRAAD - TRANTELAAR
B090;248;KASTEELHOEK - KALESHOEK
B11-;120;KEIZERHOEK
B19-;45;DE DRIE MUSSEN
C00-;835;KEIEM-KERN
C08-;376;WITTE POORTHOEK
C09-;120;DE WALEWEIDEN - TERVAETE
D000;645;LEKE-KERN
D08-;182;PUIDSARMOEDE
D090;302;LEKE-VERSPREIDE BEWONING
E00-;404;VLADSLO-KERN
E09-;790;VLADSLO-VERSPREIDE BEWONING
F00-;497;WOUMEN-CENTRUM
F01-;488;SERPENTHOEK
F081;157;OUDLAND
F091;183;WOUMEN - POLDER
G00-;297;NIEUWKAPELLE-KERN
G099;172;NIEUWKAPELLE - VERSPREIDE BEW. - KNOCKENWIJK
H099;134;OUDEKAPELLE - VERSPREIDE BEWONING - VLAHOEK
J099;119;SINT-JACOBS-KAPELLE
K00-;150;OOSTKERKE-KERN
K09-;123;OOSTKERKE-VERSPREIDE BEWONING
L00-;57;LAMPERNISSE-KERN
L09-;73;PLANTHOEK-VISSERSSTR.-KRUISSE
L19-;46;ZANNEKINHOEK - DIKSMUIDESTRAAT
M00-;584;PERVIJZE-KERN
M08-;80;SCHOORBAKKE
M09-;175;ROUSDAMME - ACHT ZALIGHEDEN - VIJFHUIZEN
N09-;133;STUIVEKENSKERKE - VERSPR. BEW.
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A001;1006;HOUTHULST-CENTRUM-ZUID
A01-;1754;HOOGKWARTIER - ST-HUBERTUSWIJK
A022;981;HOUTHULST-CENTRUM-NOORD
A089;301;VRIJBOS
A099;218;NOORDEINDE-TERREST-VERSP. BEW.
A111;268;TERREST - KERN
A299;0;MILITAIR DOMEIN
B00-;932;MERKEM-KERN
B012;177;KIPPE
B081;703;OUDLAND
B09-;230;NOORDEINDE
B19-;250;NACHTEGAAL
C082;292;RONEHOEK - NIEUWE STEDE
C092;33;ZANDHOEK
C10-;885;JONKERSHOVE - STROVENDORP
D00-;990;KLERKEN-CENTRUM
D012;90;CENTIEMHOEK
D091;198;KLERKEN-VERSPREIDE BEWONING
D10-;394;PIERKENSHOEK
D19-;192;ZWARTEGAT - VELDHOEK
ZZZZ;1;NON LOCALISABLE DANS UN SECTEUR
A001;655;KOEKELARE-CENTRUM-KERN
A010;714;ICHTEGEMSTRAAT
A020;629;JAGERSHOF - DE PLUIM
A032;1058;KOEKELARE-CENTRUM-ZUID
A043;833;KOEKELARE-CENTRUM-NOORD
A0AB;228;VLAANDEREN
A0MA;129;KOEKELARE HOVAERE
A0PA;929;KOEKELARE-VERSPR.BEW.-NOORD
A0QB;763;KOEKELARE-VERSPR.BEW.-ZUID
A10-;1153;MOKKER
A19-;66;POTTEBEZEM-ZUIDWEST
A21-;139;DOEVEREN
A262;28;LEUGENBOOMBOS
B00-;393;BOVEKERKE-CENTRUM
B002;153;BOVEKERKE-CENTRUM-OOST
B01-;236;MOSKOU
B091;279;BOVEKERKE-VERSPREIDE BEWONING
C00-;89;ZANDE-KERN
C09-;190;ZANDE-VERSPREIDE BEWONING
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A001;745;KORTEMARK-CENTRUM
A013;380;KOUTERMOLEN
A02-;604;VOSHOEK - HAASZAKHOEK
A03-;475;MARKHOVE
A042;213;VULDERHOEK
A052;1492;SNEPPE
A08-;167;LEENBOS - HILLEBEKE
A091;632;ACHTERHOEK
A10-;504;ELLE
A110;472;SPANJAARD
A28-;226;HUILAERTMOLEN
A314;38;EDEWALLE-ZUID
B00-;1349;HANDZAME-KERN
B01-;359;HANDZAME - STATION-ZUID
B082;665;HANDZAME-VERSPR. BEW.-ZUID
B091;180;HANDZAME-VERSPR. BEW.-NOORD
B10-;253;EDEWALLE-KERN
B19-;156;EDEWALLE - RUIDENBERG
B28-;170;AMERSVELD
C00-;664;WERKEN-KERN
C09-;306;WERKEN-VERSPREIDE BEWONING
C19-;43;RODEZEEHOEK
D00-;1203;ZARREN-CENTRUM
D01-;233;ROESELARESTRAAT
D023;64;PAPELEEN
D082;177;VUILPAN - BARSDAM - BROEKEN
D091;507;RUITERHOEK
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;674;LO-KERN
A082;11;ZAVELHOEK
A091;480;LO-VERSPR.BEWONING - KLOEFHOEK
B00-;254;POLLINKHOVE-KERN
B08-;87;HEERNISSE
B09-;303;VERSPREIDE BEWONING
C00-;473;RENINGE-KERN
C081;110;WATERHOEK - RENINGE BROEKEN - WESTBROEK
C09-;498;ZUIDEINDE
C182;38;LABIETTEHOEK - PEREBOOM
D00-;129;NOORDSCHOTE-KERN
D08-;66;POEZEL
D091;182;NOORDSCHOTE-VERSPR. BEW.-ZUID
D182;14;NOORDSCHOTEBROEK
ZZZZ;1;NON LOCALISABLE DANS UN SECTEUR
A001;2153;IEPER-CENTRUM
A011;1360;ZAALHOF
A02-;1511;DIKSMUIDSE POORT
A032;542;STATION
A082;7;MAJOORGRACHT - KASTEELGRACHT
A091;175;VERLOREN HOEK
A101;2076;KRUISSTRAAT
A112;1987;POSTHOORNWIJK
A121;740;HET WITTE HUIS
A182;291;KONINGSHOEK
A193;31;VERDRONKEN WEIDE
A201;982;IEPERHOEKJE
A219;1058;AUGUSTIJNENWIJK
A222;644;WEGWIJZER
A301;958;HOORNWERK
A312;530;KRUISHALZIJDE
A322;674;HOVELAND
A331;728;LIGYWIJK
A373;94;JEUGDSTADIUM
A400;1267;KALFVAARTWIJK
A412;403;POTIJZE
A421;1424;KAAI
A471;109;IEPER STEENBAKKERIJ
A472;145;INDUSTRIEZONE
A492;25;LAKEBOS
B00-;686;BRIELEN - PLAATS
B091;168;BRIELEN TE LANDE
B222;67;NOORDHOFWIJK
C000;640;SINT-JAN-KERN
C010;286;WIELTJE
C090;57;SINT-JAN-VERSPREIDE BEWONING
D00-;1204;BOEZINGE-KERN
D01-;344;'T HOGE - PILKEM
D089;274;HEMELRIJK - SINT-JAN (IEPER)
D099;328;BOEZINGE-VERSPREIDE BEWONING
E00-;137;ZUIDSCHOTE-KERN
E012;122;LUZERNE
E091;146;ZUIDSCHOTE-VERSPREIDE BEWONING
F001;276;ELVERDINGE-KERN
F012;857;ZOMERBLOEM - HOMEVRIJZICHT - WARANDE
F09-;619;ELVERDINGE-VERSPREIDE BEWONING
G001;1934;VLAMERTINGE-KERN
G012;387;RODENBACHSTRAAT
G09-;368;VLAMERTINGE-VERSPR. BEWONING
G19-;211;KROMMENELST
G20-;365;BRANDHOEK-KERN
G29-;329;BRANDHOEK-VERSPREIDE BEWONING
H00-;1239;DIKKEBUS-KERN
H09-;264;DIKKEBUS VERSPREIDE BEWONING
J00-;479;VOORMEZELE-DORP
J09-;228;VOORMEZELE-VERSPREIDE BEWONING
J10-;161;SINT-ELOOI-KERN
J19-;79;SINT-ELOOI-VERSPREIDE BEWONING
K00-;368;HOLLEBEKE-DORP
K09-;278;HOLLEBEKE-VERSPREIDE BEWONING
L000;942;ZILLEBEKE-DORP
L012;222;ZWARTE LEEN
L081;460;'T HOGE - KANON
L091;429;VERBRANDE MOLEN - KLEIN ZILLEBEKE
L192;62;VIJVERHOEK
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;854;MESEN - CENTRUM
A08-;18;ENCLAVE
A09-;168;MESEN TE LANDE
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;1411;POPERINGE-CENTRUM
A011;639;STATIONSWIJK
A021;1882;HOPPELAND
A031;1122;ZWIJNLAND
A041;1069;OUDE KLINIEK
A052;1118;BELLEWIJK
A073;12;SAPPENLEEN
A082;892;ONZE - HEER - BOOMPJE
A091;1187;REEPJE - VOGELTJE
A10-;73;ABELE (POPERINGE)
A190;341;HELLEKETEL -  GROTE-ONZE-HEER
A29-;73;SINT-JAN - TER - BIEZEN
A312;1191;KOUTER
A323;762;VAUX-SOUS-CHEVREMONT
A332;1140;DUINKERKESTRAAT
A412;71;NIEUWE KLINIEK
A424;67;SPORTCENTRUM
A433;188;ROODKRUIS
A473;86;INDUSTRIEZONE
A494;339;LIJSENTHOEK
B00-;825;RENINGELST-DORP
B082;359;BUSSEBOOM
B091;111;ZOETENDAAL
B19-;188;OUDERDOM
C000;313;KROMBEKE-DORP
C090;389;DOORNHOEK - WAAIENBURG
D00-;612;PROVEN-DORP
D089;435;BLOKKE
D091;214;CANADA - SPEELHOFHOEK
E00-;549;ROESBRUGGE - DORP
E089;135;PROOSDY
E10-;140;HARINGE - DORP
E190;194;HARINGE - DE LANDING
F000;652;WATOU-DORP
F090;574;WATOU TE LANDE
F19-;183;SPEUTE
F20-;179;ABELE (WATOU)
F29-;178;CALLICANES
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;995;WERVIK-CENTRUM
A01-;531;STATION
A02-;1577;KASTEELSTRAAT
A03-;464;KOMENSTRAAT
A04-;1134;RAPETTE
A05-;617;VAN DE CANDELAERESTRAAT
A072;37;INDUSTIEZONE
A091;957;LAAG VLAANDEREN
A10-;1539;SINT-JOZEF
A113;401;MOLENMEERSEN
A20-;1620;REKE
A21-;906;GELUWESTEENWEG
A30-;524;KRUISEKE-KERN
A39-;552;KRUISEKE-VERSPREIDE BEWONING
B001;2716;GELUWE-KERN
B012;635;WITTE POORT
B023;396;TUINWIJK
B032;179;IEPERSTRAAT
B043;1051;POLLEPELSTRAAT
B091;998;TE LANDE
B19-;606;ARKEMOLEN - TERHAND
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;1350;ZONNEBEKE-CENTRUM
A011;365;BROODSEINDE
A022;144;MOLENAARELST
A032;456;BOUDEWIJNPARK
A081;124;FREZENBERG
A091;978;GROTE MOLENSTRAAT - MEERLAAN
A183;171;RIJSELBOSSTRAAT
A283;490;WESTHOEK - ZANDBERG
A2AJ;409;NONNEBOSSEN
B001;1262;PASSENDALE - PLAATS
B012;236;STATIESTRAAT
B022;144;MOSSELMARKT
B033;439;BROUCKHOF
B081;67;NIEUWE MOLEN - KEIBERG
B091;817;'S GRAVENTAFEL - GOUDBERG - KAZAKKE
B112;177;TYNE COTHOEK
C00-;1745;BESELARE - PLAATS
C083;28;KRUISEKE
C091;813;BESELARE-VERSPREIDE BEWONING
C112;95;NOORDEINDHOEK
D00-;544;GELUVELD - PLAATS
D01-;484;'T KANTIENTJE
D082;47;POLDERHOEK - POEZELHOEK
D091;474;GELUVELD-VERSPREIDE BEWONING
E00-;193;ZANDVOORDE-KERN
E09-;327;ZANDVOORDE-VERSPREIDE BEWONING
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;655;KEMMEL-CENTRUM
A082;153;NOORDHOEK
A091;306;BASSEIE - OOSTHOEK
B000;921;WIJTSCHATE-DORP
B090;598;MIDDELHOEK - KRUISSTRAATHOEK - KROONAARDHOEK
B19-;274;LINDENHOEK
B210;197;IEPERHOEK
C002;148;WULVERGEM-DORP
C091;114;HOOGHOF
D00-;901;NIEUWKERKE - DORP
D082;266;DE SEULE - DE BROEKEN
D091;325;NOORDHOEK - KORTE PIJP
E00-;314;DRANOUTER-DORP
E082;75;ZWARTEMOLEN
E091;195;HILLE
E183;86;MONTEBERG
F00-;360;LOKER-DORP
F082;105;ZAVELAAR - BRULOZE
F091;103;GALOOIE
G00-;619;WESTOUTER-DORP
G08-;131;BRABANT
G09-;149;LANGE DREEF - BOESCHEEPSESTR.
G19-;342;ZWARTEBERG - RODEBERG
H20-;166;DE KLIJTE-DORP
H290;353;DE KLIJTE - ROZENHILLE
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A001;855;LANGEMARK-CENTRUM
A012;1381;CAYENNEHOEK
A023;195;LANGEMARK-CENTRUM-NOORD
A09-;709;LANGEMARK-VERSPREIDE BEWONING
A10-;512;SINT-JULIAAN-KERN
A18-;33;FORTUINHOEK
A19-;372;SINT-JULIAAN-VERSPR. BEWONING
A200;425;MADONNA
A21-;460;MANGELARE
A290;276;MUNNEKEN - VELDHOEK
B00-;367;BIKSCHOTE-KERN
B09-;207;BIKSCHOTE-VERSPREIDE BEWONNING
C00-;1136;POELKAPELLE-KERN
C081;65;KORVERBEEK
C09-;731;POELKAPELLE-VERSPR. BEWONING
C19-;90;SCHAAPBALIE
C212;193;'T VRIJBOS - STATIE
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;596;OOSTVLETEREN-CENTRUM
A08-;204;ELZENDAMME - VERSE BRUG
A09-;406;BURGWEG
B000;320;WESTVLETEREN-DORP
B09-;806;WESTVLETEREN-VERSPR. BEWONING
C00-;610;WOESTEN-DORP
C010;239;KRUISSTRAAT
C080;120;BLAUWEPOORT - GROENESTRAAT
C09-;367;KOEKUIT - STEENSTRAAT
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A001;1431;ANZEGEM-CENTRUM
A01-;459;ANZEGEM - STATION
A022;473;KRUISWEG
A082;256;HEUNTJESHOEK - HEMSRODE - WEERDRIES
A091;830;STERHOEK - STEENWEG OP VICHTE EEGALSTRAAT
A10-;727;HEIRWEG
A182;425;ZILVERBERG - STEENBRUGGE
A191;191;DIEPGROND
B002;328;GIJZELBRECHTEGEM-KERN
B091;72;GIJZELBRECHTEGEM-VERSPR. BEW.
C00-;391;KASTER-DORP
C082;131;VARENT - KOOLSTRAAT
C091;284;BROEKSTRAAT - BASSEGEM
D00-;851;TIEGEM-DORP
D08-;347;KOUTER
D09-;435;BERG
E00-;609;INGOOIGEM-DORP
E012;517;HOOGVELD
E083;142;WAASHOEK
E091;506;HULSBOS - VOSSENHOEK
E112;129;KLIJTBERG
E191;429;ENGELHOEK
F001;1067;VICHTE - PLAATS
F011;674;KLIJTBERG
F02-;948;OLEKENBOS
F032;388;NIEUW CENTRUM
F042;389;KNOK - DELFINE VANHAUTTESTRAAT
F052;344;KLIJTBERG
F08-;51;DIESVELT
F0AA;523;SCHALIËNHOF
F0PA;68;KNOKSTRAAT
F193;57;WIJNSBERG
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;2118;AVELGEM-CENTRUM
A011;601;TUINWIJK
A021;540;HUTTEGEM
A03-;703;LEYNSEELSTRAAT
A04-;813;DRIES
A052;313;AVELGEM - BOS
A072;10;INDUSTRIEZONE
A081;24;MEERSEN
A09-;668;ACHTERDRIES-KNOBBELSTR-KAPHOEK
A10-;376;RUGGE
A19-;131;WIJK - OOSTENDE
A282;125;RAAPTORF
B00-;155;WAARMAARDE - DORP
B09-;496;MOLENHOEK - VIERSCHAAR
C00-;445;KERKHOVE-DORP
C004;4;KERKHOVE SCHELDEKAAI
C013;106;KERKHOVE - WEST
C082;163;MOLENHOEK
C091;240;VARENT - HEIE
D00-;827;OUTRIJVE-DORP
D012;119;DRIES
D091;235;MARAILLE - PUURBEEK
E00-;215;BOSSUIT-DORP
E012;200;OUDSTRIJDERSLAAN - KWASTRAAT
E091;100;BOUVRIESTRAAT - PLEINSTRAAT
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A001;1615;DEERLIJK-CENTRUM
A01-;1066;DE PRINS
A022;2087;BRAAMAKKER
A033;723;BLOEMENWIJK
A042;1162;SNEPHOEK
A072;19;INDUSTRIEZONE
A081;236;DEERLIJK-VERSPREIDE BEWONING
A0MA;61;TER DONKT
A0PA;636;GAVER - MOLENHOEK
A100;334;BELGIEK - KERN
A19-;608;LISBONNA
