CD_STAT_SECTOR,CD_YEAR,MS_P10
11001A00-,2023,169000.0
11001A01-,2023,280000.0
11001A01-,2023,296500.0
11001A052,2023,359000.0
11001A052,2023,360500.0
11002A00-,2023,142750.0
11002A01-,2023,179000.0
11002A05-,2023,135000.0
11002A10-,2023,212050.0
11002A11-,2023,135000.0
11002A12-,2023,148500.0
11002A13-,2023,162000.0
11002A14-,2023,115000.0
11002A15-,2023,114250.0
11002A21-,2023,220000.0
11002A22-,2023,224950.0
11002B701,2023,120000.0
11002B71-,2023,197000.0
11002B721,2023,185000.0
11002B813,2023,172500.0
11002C20-,2023,157000.0
11002C21-,2023,120000.0
11002C22-,2023,83000.0
11002C23-,2023,92500.0
11002C24-,2023,160000.0
11002C25-,2023,140000.0
11002C31-,2023,257000.0
11002C41-,2023,80000.0
11002C42-,2023,115000.0
11002C42-,2023,115000.0
11002D30-,2023,120000.0
11002D31-,2023,115000.0
11002D32-,2023,112000.0
11002D33-,2023,205000.0
11002D34-,2023,333000.0
11002D34-,2023,333000.0
11002D34-,2023,167374.0
11002D41-,2023,90000.0
11002D42-,2023,140000.0
11002E122,2023,200000.0
11002E14-,2023,231500.0
11002E15-,2023,198000.0
11002E50-,2023,280000.0
11002E50-,2023,280000.0
11002E50-,2023,210000.0
11002E521,2023,275000.0
11002E521,2023,275000.0
11002E521,2023,190000.0
11002E53-,2023,170000.0
11002E551,2023,170000.0
11002E5MJ,2023,120000.0
11002F21-,2023,192000.0
11002F61-,2023,187000.0
11002F61-,2023,187000.0
11002F65-,2023,115000.0
11002G51-,2023,189000.0
11002G53-,2023,350000.0
11002G53-,2023,350000.0
11002G53-,2023,165000.0
11002G54-,2023,170000.0
11002G72-,2023,151500.0
11002G73-,2023,100000.0
11002H43-,2023,139000.0
11002H83-,2023,125000.0
11002J072,2023,135750.0
11002J820,2023,107000.0
11002J83-,2023,106000.0
11002J85-,2023,257800.0
11002L000,2023,190000.0
11002L000,2023,190000.0
11002L011,2023,174500.0
11002L100,2023,225000.0
11002L100,2023,225000.0
11002L111,2023,194500.0
11002P00-,2023,200000.0
11002P00-,2023,200000.0
11002P01-,2023,200000.0
11002P01-,2023,200000.0
11002P03-,2023,240000.0
11002P03-,2023,240000.0
11002P04-,2023,277000.0
11002P04-,2023,140000.0
11002P100,2023,285000.0
11002P100,2023,237500.0
11002P111,2023,340000.0
11002P20-,2023,196000.0
11002P20-,2023,196000.0
11002P500,2023,285000.0
11002P500,2023,285000.0
11002P6CK,2023,280000.0
11002P6CK,2023,280000.0
11002Q001,2023,200000.0
11002Q001,2023,200000.0
11002Q001,2023,140000.0
11002Q03-,2023,155000.0
