zone_police;cambriolage;year
ZP BRUXELLES CAPITALE IXELLES;3821;2000
ZP BRUXELLES-OUEST;1093;2000
ZP MIDI;1161;2000
ZP MONTGOMERY;1265;2000
ZP POLBRUNO;976;2000
ZP UCCLE-W-B-AUDERGHEM;1601;2000
