CD_SECTOR;TOTAL;TX_DESCR_SECTOR_FR
11002H83-;3751;SLACHTHUISWIJK (DAM-SCHIJNPOORT)
11002H84-;612;DAM (DAM - SCHIJNPOORT)
11002H8MJ;8;DAM- LOBROEKDOK (SCHIJNPOORT)
11002J07K;697;OUDE HAVEN WEST
11002J07L;607;OUDE HAVEN OOST
11002J80K;3342;LUCHTBAL-ZUID
11002J82K;1446;IJZERLAAN (DAM - SCHIJNPOORT)
11002J83-;1289;DUBOISSTRAAT (NOORDWIJK)
11002J84-;444;WILLEMDOK (SPAANSE WALLEN)
11002J85-;3292;T EILANDJE
11002J873;106;HOUTDOK
11002J8AN;3037;AN-LUCHTBAL-NOORD
11002K171;118;ALBERTDOK
11002K172;0;MARSHALL-EN INDUSTRIEDOK ESSO
11002K173;2;LEOPOLDDOK FORD-FABRIEKEN
11002K175;0;CHURCHILLDOK-G. M. CONTIN.
11002K1NP;1;AN-LUITHAGEN-TRANSCONTINENTAALWEG
11002K1WN;1;AN-HAVEN/VORMINGSSTATION
11002K214;40;LILLO - FORT
11002K271;0;DISTRICT LILLO TUNNEL-NOORD
11002K272;0;DISTRICT LILLO TUNNEL-ZUID-WEST
11002K2MN;0;DISTRICT LILLO TUNNEL-ZUID-OOST
11002L000;2077;ZANDVLIET-KERN(ZANDVL.-5 DIST)
11002L011;1353;STALSHOEK(ZANDVLIET-5 DISTR. )
11002L022;153;GROTE RUIGEHEIDE(ZANDVL.-5DIS)
11002L07K;0;HAVENGEBIED (ZANDVLIET-5 DIS)
11002L090;223;NOORDLAANPOLDER - VERSPR. BEW.
11002L100;2936;BERENDRECHT - KERN (BERENDRECHT)
11002L111;1100;STEENHOVENSTRAAT (BERENDRECHT)
11002L122;2078;VISWATER(BERENDRECHT - 4 DIST)
11002L17K;0;HAVENGEBIED(BERENDRECHT - 4 D)
11002L18-;71;KRAAIENBERG(BERENDRECHT - 4 D)
11002M0QA;0;SCHELDE-ZUID
11002M0RA;0;SCHELDE-NOORD
11002P00-;1605;EKEREN-CENTRUM
11002P01-;2348;EKEREN-DORP
11002P02-;1536;SCHOONBROEK
11002P03-;2859;DE GEESTEN
11002P04-;2535;HET ZAND
11002P05-;791;LEERHOEKSLAAN
11002P09-;0;VELTWIJCK
11002P100;2370;MARIABURG
11002P111;1557;DE BIST
11002P12-;1026;DE NOTESCHELP
11002P192;0;HOGE BIST
11002P20-;1364;HOEKAKKER
11002P22-;1009;PRINSHOEVELAND
11002P23-;2068;LAGE BIST
11002P242;252;KLAVERVELDEN
11002P2AN;0;EK-LAAR
11002P2AP;1356;EK-LUCASWIJK
11002P392;0;VLOEIENDE
11002P50K;1328;LEUGENBERG
11002P589;153;DE HOECKX
11002P59K;4;KROMMESTRAAT- AKKER
11002P59L;74;BREDESTRAAT- VELDEN
11002P6AK;184;EK-LEUGENBERG-ZUID
11002P6BK;849;EK-SCHOONBROEK - TWEEKRONEN
11002P6CK;875;EK-SCHOONBROEK HANDBOOG
11002P6DK;1494;EK-GR.HAGELKRUIS-L.BAEKELANDSTRAAT
11002P6EK;1660;EK-DONKSE BEEK
11002P6FK;0;EK-EKERSE POLDER
11002P6PK;0;EK-EKERSE PUTTEN
11002Q001;4249;OUD MERKSEM
11002Q012;3989;MERKSEM-CENTRUM
11002Q021;939;LAATLOS
11002Q03-;3521;GAGELVELDEN
11002Q04-;2800;KLUIZEVELDEN
11002Q052;968;EIGEN HEERD
11002Q072;125;DUIVELSHOEK
11002Q091;30;PARK
11002Q10-;3351;OUDE BAREEL
11002Q11-;1559;MERKSEMHEIDE
11002Q12-;4574;KROONWIJK
11002Q13-;3174;MELGESDREEF
11002Q14-;3224;TUINWIJK
11002Q17-;104;MERKSEM-DOKKEN
11002Q201;6783;LAMBRECHTSHOEKEN
11002Q212;3051;LAARSE BAAN-WEST
11002Q222;522;RIETSCHOORVELDEN
11002Q233;1534;LAARSE BAAN-OOST
11002Q241;30;KRUISBAANVELDEN-OOST
11002Q242;906;KRUISBAANVELDEN-WEST
11002Q2AA;1456;T LAAR
11002Q2PK;3;ME-MERKSEMSE POLDER
11002Q30-;273;KLEINE BAREEL
11002Q39-;6;T FORT
11002Q49-;2;SPORTPALEIS
11002R00-;862;DEURNE - GEMEENTEHUIS
11002R01-;2823;PLANKENBERG
11002R02-;1371;DEURNE-HET DORP
11002R03-;4731;GALLIFORT
11002R04-;1767;KREGLINGER
11002R05-;2735;TER RIVIEREN
11002R099;29;RIVIERENHOF-NOORD
11002R101;6364;KRONENBURG
11002R110;5363;BISSCHOPPENHOF
11002R12-;4104;CONFORTA
11002R13-;6430;TEN EEKHOVE
11002R172;59;KANAAL
11002R180;1352;BREM
11002R19-;955;KRUININGE
11002R20-;4459;VENNEBORG
11002R21-;3499;MORTELHOEK
11002R22-;1608;ERTBRUGGE
11002R23-;3516;ZWARTE AREND
11002R24-;3054;SCHOTENSTEENWEG
11002R28-;109;RUGGEVELD
11002R29-;0;ERTBRUGGE VELD
11002R30-;1492;T MESTPUTTEKE
11002R31-;4653;DRIEKONINGEN
11002R32-;1710;ARENA
11002R33-;3026;KRIEKENHOF
11002R34-;1637;MUGGENBERG
11002R35-;3037;MORKHOVEN
11002R39-;24;BOTERLAARHOF
11002R401;3245;BOEKENBERG
11002R41-;2531;DRAKENHOF
11002R42-;1327;BOEKENBERGLEI
11002R43-;3894;EKSTERLAAR
11002R44-;2977;BOTERLAAR - SILSBURG
11002R47-;116;VLIEGVELD
11002R482;7;BOEKENBERGPARK
11002S00-;4577;BORGERHOUT - GEMEENTEHUIS
11002S01-;3972;FONTEINSTRAAT
11002S02-;3703;DEN BLEEKHOF
11002S03-;2616;KROONSTRAAT-WEST
11002S04-;3764;HET LAAR
11002S05-;2528;KATTENBERG
11002S10-;1693;STENENBRUG-ZUID
11002S11-;3282;COLLEGE
11002S12-;2806;VAN DE PERRELEI
11002S13-;1166;BOELAERPARK-NOORD
11002S19-;0;TE BOELAERPARK
11002S20-;857;FOORPLEIN
11002S28-;0;DEURNE - HUISKENS
11002S2MK;0;E3 - E39 WEST
11002S2ML;0;E3 - E39 ZUIDOOST
11002S2MM;0;E3 - E39 OOST
11002S2MO;737;E3 - E39 NOORDOOST
11002S30-;3872;DE PEPERBUS
11002S31-;4385;ST.-ANNA
11002S41-;2255;LABORATORIUM
11002S42-;3013;GITSCHOTEL
11002S43-;1634;CRUYSLEI
11002T00-;3488;OP TEN BERGH
11002T01-;2473;POSTHOF
11002T02-;1307;HOFVELD
11002T03-;2696;STUIVENBERG
11002T04-;1887;OUDE JUSTITIE
11002T05-;2219;TURKEYEN
11002T09K;0;VESTINGEN WEST
11002T09L;497;VESTINGEN OOST
11002T10-;2255;RUYTENBURG
11002T111;3336;FRUITHOF
11002T12-;1857;OUDE BAEN
11002T13-;2269;MOLENVELD
11002T14-;2869;DE VELDEKENS
11002T180;601;ROOY
11002T19-;0;DE SCHOM
11002T20-;4096;GITSCHOTEL
11002T21-;1845;VOSSTRAETE
11002T22-;2177;GROENENHOEK
11002T23-;1350;BERCHEMBOS
11002T24-;843;TUINWIJK
11002T25-;409;HET PRIEEL
11002T30-;1835;ZURENBORG
11002T39-;11;OOSTKWARTIER
11002T412;1760;ZILVERBEEK
11002T42-;2006;DE ZEPTEN
11002U00-;3476;WILRIJK-CENTRUM
11002U01-;3030;YPERMAN - STEYTELINCK
11002U02-;3373;OVERSNES - DUIVELSHOEK
11002U03-;2556;KOORNBLOEM
11002U09-;117;SLIJKHOEK - FORT 6
11002U10-;3414;HONDSNEST - MOLENVELD
11002U11-;1971;PARKWIJK
11002U20-;5963;VALAAR - DE BREM
11002U21-;3817;DE BRUYNLAAN-ZUID
11002U22-;1179;DE BRUYNLAAN-NOORD
11002U30-;3368;OOSTERVELD
11002U31-;1188;ELSDONK-OOST
11002U32-;1260;ELSDONK-WEST
11002U33-;2815;SINT-AUGUSTINUS
11002U40-;2053;EDEN
11002U41-;804;U.I.A. VOORJAARSSTRAAT
11002U43-;1467;GALLAITLAAN
11002U47-;207;INDUSTRIEPARK-OOST
11002U57-;196;TER BEKE HOF DREEF
11002U5MA;7;GROENE HOEK - TER BEKE - OOST
11002U5PA;3;GROENE HOEK - TER BEKE - WEST
11002U60-;482;DOOY SLOOY
11002U68-;4;SCHOONSELHOF - FORT 7
11002U69-;9;KLAVERBLAD
11002V00-;1854;HOBOKEN - CENTRUM
11002V01-;2447;KLOOSTERSTRAAT
11002V02-;1264;VINKEVELDEN
11002V03-;1507;KAPELSTRAAT
11002V04-;1965;SPORT PARK BELL
11002V05-;2896;LEOPOLDLEI
11002V07K;16;METALLURGIE - COCKERILL
11002V099;27;PARK ZORGVLIET
11002V10-;6145;ZWAANTJES
11002V11-;3675;PORTUGESEHOF
11002V12-;2019;WEERSTANDLAAN
11002V13-;4063;HEIDE
11002V14-;2686;LICHTENBERG
11002V19-;249;BEGRAAFPLAATS
11002V20-;2044;MEERLENHOF
11002V21-;1236;STUIVENBERG
11002V22-;1511;NACHTEGALENHOF-NOORD
11002V23-;2052;NACHTEGALENHOF-ZUID
11002V29-;0;HOF TER GROEN
11002V301;1044;MORETUSBURG
11002V312;1403;VISPUTTEN
11002V322;1650;POLDERSTAD
11002V37K;9;INDUSTRIEPARK
11002V39K;0;SCHELDE-ZUID-WEST
11002V39L;0;POLDERBOS WEST
11002V39M;2;POLDERBOS NOORD
11002ZZZZ;450;Non localisable dans un secteur
11007A00-;1213;BORSBEEK-CENTRUM
11007A01-;1450;VOGELZANG
11007A020;755;ACHTERROT
11007A03-;3265;VAN PUTLEI
11007A04-;4398;OUDE SPRINKHAAN
11007A080;210;SCHOENDONK
11007A09-;143;FORT 3
11004A00-;1344;BOECHOUT-CENTRUM
11004A01-;693;HOVEREVELD
11004A02-;552;FRUITHOF
11004A03K;1174;BOECHOUT-MIDDEN
11004A08K;525;MUSSENHOEVEN
11004A09-;197;HOF VAN BOECHOUT
11004A10-;1343;T VOSKE
11004A18-;149;HELLE
11004A19-;660;SMIDJE-VERSPREIDE BEWONING
11004A21K;893;MOLENVELDEN
11004A220;1963;GILLEGOMBUURT
11004A23-;777;SCHALIEHOEVEBUURT
11004A24K;939;VOGELWEIDEN
11004A29-;202;BOSHOEK
11004B00K;705;VREMDE-DORP-NOORD
11004B00L;476;VREMDE-DORP-ZUID
11004B010;552;BROECHEMSE STEENWEG
11004B02K;376;WITTE WIJK
11004B08K;253;TOEFFELHOEKEN
