CD_SECTOR;TOTAL;TX_DESCR_SECTOR_FR
23045B091;165;MALDEREN ZUID - VERSPREIDE BEWONING
23045B0AP;752;EIKENHOUT
23045C000;1062;STEENHUFFEL-CENTRUM
23045C012;509;EBBING
23045C083;266;OVER DE BEEK
23045C091;1137;STEENHUFFEL - VERSPREIDE BEWONING
23045ZZZZ;1;Non localisable dans un secteur
23047A01K;1635;MACHELEN KERN
23047A01L;623;NEUFFORGE
23047A01M;997;MACHELEN PARK
23047A02K;1677;BLIJDE INKOMST 2025
23047A03K;0;RING
23047A04K;483;VIADUCT
23047A04L;489;BEAULIEU 2025
23047A05K;1330;BEGONIA
23047A07-;449;MACHELEN BEDRIJVENZONE
23047A0MK;25;DE KOUTER
23047A0ML;0;MACHELEN CARGO
23047A11K;691;GROOTEN HAM 2025
23047A12K;511;DE HEUVE 2025
23047A1PK;5;FLOORDAM
23047A21-;0;MACHELEN VLIEGVELD
23047A31-;713;SPOELBERG
23047A323;907;TERBANK
23047B00K;989;DIEGEM KERN
23047B00L;1009;DIEGEM PARK
23047B01K;739;DE GEYNDT
23047B01L;1006;SCHETSVELD 2025
23047B021;178;DIEGEM LO
23047B04K;396;DIEGEM HOEK
23047B07K;52;DE ROTTEN BOS 2025
23047B170;40;DIEGEM INDUSTRIE
23047B210;1712;DRIE LINDEN
23047B31-;0;DIEGEM VLIEGHAVEN
23047B320;121;KORENBERG
23047ZZZZ;7;Non localisable dans un secteur
23050A00-;909;MEISE-CENTRUM
23050A011;1685;MOLENKOUTER
23050A03-;417;KASTEELVELD
23050A04-;237;RERUM NOVARUMWIJK
23050A052;598;SINT-ELOOI (MEISE)
23050A062;329;HASSELT
23050A08K;123;AMELGEM
23050A102;293;SINT-BRIXIUS-RODE-KERN
23050A113;1049;HOF TE RODE
23050A120;726;BAAN VILVOORDE-WOLVERTEM-NOORD VERSPREIDE BEWONING
23050A191;643;ST-BRIXIUS-RODE - VERSPR. BEW.
23050A202;767;EVERSEM
23050A283;106;MISVERSTAND
23050A291;163;LIMBOS
23050A313;92;BOEKHOUT
23050A323;939;POTAARDE
23050A38-;3;BOUCHOUT PARK
23050A62K;951;MANKE VOS
23050A70K;371;OPPEM CENTRUM
23050A71K;402;SINT-ELOOI
23050A782;47;HEIDEROOSJE
23050A79K;479;WIJK OPPEM
23050A79L;335;OPPEM VERSPREIDE BEBOUWING
23050B00K;1703;WOLVERTEM CENTRUM WEST
23050B00L;1339;WOLVERTEM CENTRUM OOST
23050B022;328;ZIJP
23050B033;554;DE VLIETEN
23050B084;299;BRIESTHOEVE
23050B091;59;WOLVERTEM-VERSPREIDE BEWONING
23050B19-;347;MEUZEGEM
23050B29-;628;ROSSEM
23050B30-;457;IMPDE-KERN
23050B38-;385;NEROM - BOSKANT
23050B39-;712;NEERPOORTEN
23050B4AK;412;WESTRODE DORP ZUID
23050B4AL;564;WESTRODE DORP NOORD
23050B4PA;226;WESTRODE RAND
23050B59-;714;NEROM-STOPPELENBOS-ZESBUNDERS
23050ZZZZ;1;Non localisable dans un secteur
23052A00K;1590;MERCHTEM-CENTRUM OOST
23052A00L;1276;MERCHTEM-CENTRUM WEST
23052A01K;1136;MERCHTEM UITBREIDING-CENTRUM DRYPIKKEL
23052A01L;519;MERCHTEM UITBREIDING-CENTRUM BLEUKENWEG
23052A01M;442;MERCHTEM CENTRUM BRUSSELSESTEENWEG
23052A020;1095;APPELKOT
23052A03K;1029;MERCHTEM UITBREIDING-ZUIDOOST
23052A03L;965;MERCHTEM UITBREIDING-ZUIDWEST
23052A042;855;PEPER
23052A09K;897;MERCHTEM VERSPREIDE BEWONING OOST
23052A09L;1003;MERCHTEM VERSPREIDE BEWONING NOORD
23052A0MK;156;MERCHTEM INDUSTRIE
23052A0PA;833;MERCHTEM VERSPREIDE BEWONING ZUID
23052A10K;775;PEIZEGEM CENTRUM ZUID
23052A10L;971;PEIZEGEM CENTRUM NOORD
23052A11-;257;MERCHTEM DRIES
23052A190;813;PEIZEGEM VERSPREIDE BEWONING
23052B00-;524;BRUSSEGEM-CENTRUM
23052B01K;482;BRUSSEGEM-CENTRUM UITBREIDING
23052B09K;546;BRUSSEGEM VERSPREIDE BEBOUWING
23052B102;297;OSSEL
23052B183;132;HEIRBAAN
23052B191;85;OSSELSTRAAT
23052B29-;257;BOLLEBEEK
23052B39-;180;BOSBEEK
23052B491;396;LINTHOUT
23052C00-;844;HAMME
23052ZZZZ;6;Non localisable dans un secteur
23060A00-;1793;OPWIJK-CENTRUM
23060A01K;914;OPWIJK-CENTRUM-WEST - ESP
23060A01L;1199;OPWIJK-CENTRUM-NOORD
23060A01M;1214;OPWIJK-CENTRUM-OOST
23060A04K;1064;NANOVE
23060A083;532;OPWIJK-WEST
23060A091;383;OPWIJK VERSPR. BEWONING-ZUID
23060A11-;370;DROESHOUT - STATION
23060A19-;411;KLEIE - SPOORLIJN-OOST
23060A20K;984;DROESHOUT-KERN
23060A282;240;HULST-MELKSPINNE
23060A29-;663;MANSTEEN - WAAIENBERG
23060A30K;1052;NIJVERSEEL CENTRUM
23060A38K;189;NIJVERSEEL VERSPREIDE BEWONING ZUID
23060A39K;431;NIJVERSEEL VERSPREIDE BEWONING NOORD
23060A412;1172;NEERVELD - DOORTSTRAAT
23060A48-;713;EEKSKEN
23060A491;208;KEMMEKEN
23060B00K;326;MAZENZELE-CENTRUM
23060B01K;355;MAZENZELE STEENWEG
23060B08-;325;MAZENZELE STWG BRUSSEL- DENDERMONDE-OOST- VERSPR.BEW.
23060B09-;453;MAZENZELE STWG BRUSSEL- DENDERMONDE-WEST- VERSPR.BEW.
23060ZZZZ;15;Non localisable dans un secteur
23062A00-;1583;OVERIJSE-KERN
23062A001;400;DROGENBERG
23062A012;203;KLAPSTRAAT
23062A023;1328;TERSPOUT
23062A032;593;VRONENBERG
23062A043;434;WARANDE
23062A054;310;EEKHOUT
23062A071;209;INDUSTRIEPARK-NOORD
23062A081;179;BISDOM
23062A102;474;TERLANEN-KERN
23062A113;133;TERLANENVELD
23062A191;94;TERLANEN-VERSPREIDE BEWONING
23062A202;497;TOMBEEK-KERN
23062A213;244;VENUSBERG
23062A291;719;TOMBEEK-VERSPREIDE BEWONING
23062A30-;846;MALEIZEN-KERN
23062A310;618;TENBROEK
23062A321;553;TERHOLST
23062A332;540;LOTHARINGENKRUIS
23062A340;1058;BAKENBOS
23062A35K;609;RAMEIVELD - MEERLENBERG
23062A374;13;INDUSTRIE-ZUID
23062A381;77;MALEIZENVELD
23062A395;192;BREERIJKE
23062A40-;314;JEZUS-EIK-KERN
23062A411;683;DRIEHOEK
23062A421;1612;O.-L.-VROUWEDAL
23062A432;546;SAFARI
23062A440;562;JOLYPARK
23062A472;141;HALVE STEEN
23062A480;42;DRONKENMAN
23062A50-;281;EIZER-KERN
23062A59-;894;EIZER-VERSPREIDE BEWONING
23062A604;346;ZAVELBORRE
23062A612;673;TERREST
23062A625;627;TUINDELLE
23062A63-;1169;VLIERBEEK
23062A715;964;BIESMEUTER
23062A726;387;KOUTER
23062A737;263;KOMBEEK
23062A788;113;KETELHEIDE
23062A791;144;GROENEWEG
23062A816;1246;TENRODE
23062A827;263;SPEELBERG
23062A838;608;LOENSDELLE
23062A841;150;VOSSEBEEK
23062A842;150;ROT
23062A882;13;HAGAARDBOS
23062A893;113;REUTENBEEK
23062A911;851;VUURGAT
23062A913;88;WANTENBERG
23062A922;238;IJSEBOS
23062A924;306;HENGSTENBERG
23062A932;146;KOEDAL
23062A991;399;WELRIEKENDE
23062ZZZZ;12;Non localisable dans un secteur
23064A000;608;PEPINGEN-KERN
23064A090;653;PEPINGEN-VERSPREIDE BEWONING
23064A19-;100;DE WINKEL
23064A29-;99;KASTEEL PUTTENBERG-ZUID VERSPREIDE BEWONING
23064A39-;168;TUSSEN BOGAARDEN EN BELLINGEN VERSPREIDE BEWONING
23064B002;86;ELINGEN-KERN
23064B091;349;ELINGEN-VERSPREIDE BEWONING
23064C002;213;BEERT-KERN
23064C091;300;BEERT-VERSPREIDE BEWONING
23064D002;187;BELLINGEN-KERN
23064D091;576;BELLINGEN-VERSPREIDE BEWONING
23064E00K;197;BOGAARDEN CENTRUM
23064E09K;264;BOGAARDEN VERSPREIDE BEBOUWING
23064F002;170;HEIKRUIS-KERN
23064F091;592;HEIKRUIS-VERSPREIDE BEWONING
23064ZZZZ;2;Non localisable dans un secteur
23077A001;1333;SINT-PIETERS-LEEUW RINK-KERN
23077A01K;1201;SINT-PIETERS-LEEUW VOLSEM
23077A022;887;RATTENDAAL
23077A09K;523;NIEUWENHOVEN NOORD
23077A09L;1250;NIEUWENHOVEN WEST
23077A09M;1095;NIEUWENHOVEN OOST
23077A09O;590;IMPELEER
23077A11-;1215;BRUKOM
23077A20K;963;NEGENMANNEKE CENTRUM ZUID
23077A20L;1649;NEGENMANNEKE CENTRUM KERN
23077A20M;1195;NEGENMANNEKE CENTRUM NOORD
23077A21K;12;NEGENMANNEKE KANAAL
23077A21L;1317;NEGENMANNEKE BERGENSESTEENWEG-ZUIDOOST
23077A21M;506;NEGENMANNEKE BERGENSESTEENWEG-NOORDOOST
23077A22K;1100;KLEIN BIJGAARDEN ZUID
23077A22L;1074;KLEIN BIJGAARDEN NOORD
23077A291;745;NEGENMANNEKE-VERSPREIDE BEW.
23077A30K;903;ZUUN BASTELEUSSTRAAT ZUID
23077A30L;1779;ZUUN BASTELEUSSTRAAT NOORD
23077A30M;1654;ZUUN ZUUNBEEK WEST
23077A30O;676;ZUUN ZUUNBEEK OOST
23077A31K;947;ZUUN RUISBROEKSESTEENWEG ZUID
23077A31L;2147;ZUUN RUISBROEKSESTEENWEG NOORD
23077B002;199;OUDENAKEN-KERN
23077B091;209;OUDENAKEN-VERSPREIDE BEWONING
23077C002;80;SINT-LAUREINS-BERCHEM-KERN
23077C091;291;SINT-LAUREINS-BERCHEM - VERSPREIDE BEWONING
23077D00-;467;VLEZENBEEK-KERN
23077D012;830;KAPELLEVELD
23077D023;543;SOBROEK
23077D09K;840;VLEZENBEEK VERSPREIDE BEWONING ZUID
23077D09L;914;VLEZENBEEK VERSPREIDE BEWONING NOORD
23077E00K;811;RUISBROEK CENTRUM ZUID
23077E00L;2696;RUISBROEK CENTRUM KERN
23077E00M;982;RUISBROEK CENTRUM NOORD
23077E01K;793;RUISBROEK NIEUWE WIJK ZUID
23077E01L;837;RUISBROEK NIEUWE WIJK NOORD
23077E02K;537;RUISBROEK KANAAL NOORD
23077E02L;928;RUISBROEK KANAAL ZUID
23077E09-;0;ZENNEVALLEI
23077ZZZZ;14;Non localisable dans un secteur
23081A00K;823;STEENOKKERZEEL-CENTRUM25
23081A01K;1350;WAMBEEK25
23081A02K;570;VAN HAM25
23081A032;923;DIJKVELD
23081A09K;23;STEENOKKERZEEL - VERSPR. BEW.25
23081A10K;1058;HUMELGEM-KERN25
23081A19K;15;HUMELGEM-VERSPREIDE BEWONING25
23081A222;52;LATTOVELD
23081A2MJ;0;STEENOKKERZEEL VLIEGVELD
23081A31K;1406;ZONNEBOS - DUISTBOS25
23081A3AJ;925;GROENVELD - HERTBLOK
23081B000;927;MELSBROEK-CENTRUM
23081B01K;1113;MELSBROEK HAACHTSE STWG.25
23081B02K;493;SNOY25
23081B09K;27;MELSBROEK-VERSPREIDE BEWONING25
23081B1MJ;0;MELSBROEK-VERSPREIDE BEWONING
23081B1NJ;0;BATAVIA - INDUSTRIE
23081C00K;751;PERK-KERN25
23081C01K;1164;T DICKT 25
23081C083;307;DE RIBAUCOURT
23081C09K;243;PERK-VERSPREIDE BEWONING25
23081C19-;556;BOEKT
23081ZZZZ;1;Non localisable dans un secteur
23086A00-;1512;TERNAT-KERN
23086A01K;997;TERNAT SOCIALE WONINGEN-KERN
23086A02K;750;NEERALFENE - OPALFENE WEST
23086A02L;650;NEERALFENE - OPALFENE OOST
23086A032;492;ZEMST
23086A073;343;VITSEROEL - OVERNELLE
23086A081;446;BIESHOOP
23086A09K;57;OPALFENE-BUITENGEBIED
23086A100;1492;TERNAT STATION - ASSESTEENWEG
23086A194;341;STEENVOORT - NATTEKOUTER
23086B00-;248;WAMBEEK-KERN
23086B012;1005;DROGE WEIDE
23086B091;629;WAMBEEK-VERSPREIDE BEWONING
23086B182;16;TEGEN LIEDEKERKE-BOS
23086B191;791;OVERDORP - SCHEPENEISEL
23086C00K;1235;SINT-KATHERINA-LOMBEEK-WESTKERN
23086C00L;687;SINT-KATHERINA-LOMBEEK-OOSTKERN
23086C01-;696;MEERSSTRAAT OOST
23086C09-;266;LOMBEEKVELD
23086C0AA;774;MEULEVELD
23086C0PA;124;DE VOGEL
23086C10K;594;BOSSTRAAT ZUID
23086C10L;991;BOSSTRAAT NOORD
23086C10M;391;MEERSSTRAAT WEST
23086C11-;1137;ESSENEHOEK
23086C19-;17;HERTIGEMBOS
23086ZZZZ;10;Non localisable dans un secteur
2308810PQ;34;PEUTIE BATENBURG
23088A00K;1770;VILVOORDE GROTE MARKT(CENTRUM)
23088A01-;2995;VILVOORDE LEUVENSESTR.(CENTR.)
23088A02K;798;KASTEEL
23088A02L;625;PARK
23088A02M;737;BLOKKEN
23088A03K;286;KANAALPARK
23088A03L;1200;MARIE-JOSÉ
23088A03M;538;4F
23088A041;1903;SLACHTHUISPLEIN (CENTRUM)
23088A08-;388;VILVOORDE KERKHOF (CENTRUM)
23088A0MK;0;FAR-WEST BEDRIJVEN
23088A101;1630;PERKSE STRAAT (FAUBOURG)
23088A13-;678;SINT-ANTONIUS (FAUBOURG)
23088A14K;1140;BLOEMENWIJK (FAUBOURG)
23088A15K;437;HORTECO
23088A17K;519;LEVIS
23088A17L;0;CAT
23088A20K;1853;LAAG KASSEI
23088A20L;900;HOOG KASSEI
23088A211;2097;SCHILDERSBUURT (KASSEI)
23088A220;191;EUROPAWIJK (KASSEI)
23088A230;481;EUROPAWIJK - ETRIMO (KASSEI)
23088A252;523;KASSEI - EUROPAWIJK - VERBROEDERING
23088A28-;194;DRIE FONTEINEN (KASSEI)
23088A29K;383;TANGE
23088A30K;886;INDRINGINGSWEG
23088A30L;1430;VIJFHOEK
23088A30M;673;MUTSAERT
23088A392;89;KONINGSLO - DE LINDE
23088A40K;3860;HET VOOR
23088A411;1103;HET VOOR -STROMBEEK STW.(KON.)
23088A422;1795;KONINGSLO-HET VOOR-WINKELVELD
23088A60K;1336;CENTRUM HOUTEM
23088A69K;523;VERSPREIDE BEWONING HOUTEM
23088A69L;1290;KEIPUT
23088A77K;90;BUDA
23088A81K;786;RADIATOREN
23088A81L;764;DUCHÉSTRAAT
23088A82-;2176;VILVOORDE MECHELSE STWG. - HENDRIK I LEI (CENTRUM)
23088A83K;1953;BENEDEN
23088A83L;795;SINT-JOZEF
23088A83M;1955;FAR-WEST ROLLEVELD
23088A83O;504;MIVAVIL
23088A84-;711;FAR WEST - DUCHEHOF (CENTRUM)
23088B00K;938;PEUTIE-KERN NOORD
23088B00L;1829;PEUTIE-KERN ZUID
23088B0MK;196;(MAJOOR) HOUSIAU
23088B0PV;46;PEUTIE - RAVAART
23088ZZZZ;12;Non localisable dans un secteur
23094A00K;1277;CENTRUM ZAVENTEM
23094A00L;807;DE FACTORIJ
23094A01K;727;STANISLAS
23094A02K;1915;KOUTERWIJK
23094A03K;910;DEN DAAL
23094A04K;1250;GONDREXON
23094A05K;2314;QUITMANN
23094A072;46;BEDRIJVENTERREIN ZAV-ZUID
23094A08K;217;SPOORWEGBOCHT IMBROEK
23094A0MJ;3;BEDRIJVENTERREIN KEIBERG
23094A11K;1103;DE RODE CITE
23094A12K;521;DE WITTE CITE
23094A13K;670;FAZANTENDAL
23094A15K;2246;FELDHEIM
23094A17K;57;DA VINCI-MAALBEEK
23094A23K;730;DE WATERTOREN
23094A2MK;0;ZAVENTEM LUCHTHAVEN
23094B00K;1497;CENTRUM NOSSEGEM
23094B01K;721;KERSENBERG
23094B02K;287;NOSSEGEM STATION
23094B03K;564;HET LINDERVELD
23094B09K;9;PODDERGAT
23094B0MK;48;BEDRIJVENTERREIN WEIVELD
23094B0PK;267;VOSKAPEL NOSSEGEM
23094B2MK;0;NOSSEGEM LUCHTHAVEN
23094C00K;1047;CENTRUM STERREBEEK
23094C01K;1486;STERREBEEK OOST
23094C04K;1409;BOESBERG
23094C04L;622;LINDENBERG-KAPELLEVELD
23094C05K;1328;MUSSENHOEK-STEENBERG
23094C08K;78;OPEN RUIMTE GEELGORS
23094C09K;22;ZAVELBOS-BOSDELLE
23094C09L;251;OUDE BAAN
23094C11K;704;TRAMLAAN-ZEEN
23094C12K;1300;STERREBEEK WEST
23094C12L;498;TRAMLAAN-WITHUYS
23094C13K;4;DE WANT
23094C18K;350;HIPPODROOM-GOLF
23094C29K;314;DE HOEVEKES
23094D00K;1647;CENTRUM SSW
23094D02K;1548;BEVRIJDING
23094D03K;406;TIENDESCHUUR
23094D05K;1656;RIJMELGEM-DORSERSHOF
23094D07K;262;WOLUWEDALPARK
23094D091;43;HEBRON
23094D0MK;127;BEDRIJVENTERREIN LOZENBERG
23094D11K;41;HARENHEIDE INDUSTRIE
23094D12K;1459;HARENHEIDE WONEN
23094D18K;15;BERREVELD
23094D18L;0;TOLLAAN
23094D1MK;130;WOLUWEBOS-WOLUWEVELD
23094D21K;585;ACACIAWIJK
23094D222;1743;HOF TER EIKEN
23094ZZZZ;10;Non localisable dans un secteur
23096A00-;1270;ZEMST-CENTRUM
23096A01-;571;ZEMST-CENTRUM-ZUID - RESIDENTIELE BUURT
23096A02K;227;ZEMST KERKVELD
23096A032;654;KLEEMPOEL
23096A04K;416;DAMBRUG
23096A091;669;ZEMST-VERSPREIDE BEWONING
23096A1AK;942;P.BENOIT
23096A1PK;133;SPILT BOS
23096A202;456;LAAR
23096A283;227;BOS VAN AA
23096A291;350;WORMELAAR
23096A391;0;OKSDONK
23096B00-;1676;HOFSTADE-KERN
23096B011;892;STEPPEKE
23096B02K;494;AMBROOS
23096B08-;258;RIJKSDOMEIN - HEIDE
23096B114;0;RIJKSDOMEIN
23096B19-;284;MOLENHEIDE
23096B212;480;VAARTDIJK
23096B22K;670;MUIZENSTRAAT - HANSWIJKHOEK
23096B29K;87;WERFHEIDE
23096C00-;1800;WEERDE-CENTRUM
23096C01-;921;WEERDENHOEK
23096C09-;88;KETELVELD
23096D00K;1483;ELEWIJT-KERN
23096D01K;1513;DIEPENDAAL WEST
23096D01L;737;DIEPENDAAL OOST
23096D022;945;SOLARIUM
23096D081;284;ELEWIJT-VERSPREIDE BEWONING
23096D091;7;BAREBEEK-NOORD
23096D183;314;STEEN
23096E000;1093;EPPEGEM - DORP
23096E01-;345;MOLENHOEK
23096E022;1101;EPPEGEM - DRIES
23096E032;329;NEDERGEM
23096E04K;622;EPPEGEM SCHRANS
23096E081;427;ELEWIJTSESTEENWEG
23096E0PK;597;EPPEGEM MOT-RIJKENHOEK-GESELARENDRIES
23096ZZZZ;7;Non localisable dans un secteur
2309711PQ;13;HOF TE KATTEM
23097A00-;799;PAMEL-KERN
23097A012;813;PUTTENBERG
23097A023;660;KAAI - TURFPUT
23097A09K;0;PROEFCENTRUM
23097A09L;212;PAMEL VERSPREIDE BEBOUWING
23097A10K;1577;LEDEBERG-KERN
23097A183;298;LEDEBERG-NOORD
23097A19K;4;LEDEBERG-VERSPREIDE BEWONING
23097A29-;486;KATTEM (PAMEL)
23097A302;499;STRIJTEM-KERN
23097A382;27;BRAAMBOS
23097A391;1162;STRIJTEM-VERSPREIDE BEWONING
23097A40-;595;O.L.VROUW-LOMBEEK-KERN
23097A41K;19;PELMOLEN
23097A422;395;ROOSDAAL DE HOEK
23097A491;319;O.L.VROUW-LOMBEEK -VERSPR.BEW.
23097A50K;605;POELK-ZUID
23097A514;847;POELK-NOORD
23097A591;320;POELK-VERSPREIDE BEWONING
23097B002;620;BORCHTLOMBEEK-KERN
23097B081;965;BORCHTLOMBEEK-VERSPR. BEWONING
23097B191;784;KATTEM (BORCHTLOMBEEK)
23097ZZZZ;2;Non localisable dans un secteur
23098A00-;1058;DROGENBOS-KERN
23098A01-;912;DOELEN - FRANKVELD
23098A02-;1268;WATERTOREN
23098A04K;44;KUIKENSTRAAT HANDEL
23098A04L;627;LANGESTRAAT
23098A04M;1929;KUIKENSTRAAT WONEN
23098A0MS;121;KANAAL-MOZART
23098A0NS;0;DORENT-ACEC
23098A0WS;79;RUISBROEK
23098ZZZZ;2;Non localisable dans un secteur
23099A000;549;KRAAINEM-CENTRUM
23099A01-;1076;NACHTEGALEN-VINKENLAAN-SOC.WON
23099A02K;1592;LAAG KRAAINEM - VILLAWIJK OOST
23099A02L;640;LAAG KRAAINEM - UITBREIDING KERN
23099A03-;669;LAAG KRAAINEM - KERN
23099A042;284;DEZANGRE
23099A091;190;ACHTER DE RING
23099A11-;984;KAPELLEVELD
23099A120;395;BOUVIER - WASHER
23099A13-;1768;STOKKEL
23099A14K;1924;HONNEKINBERG
23099A153;144;GROENSTRAAT
23099A19K;332;KRAAINEM GROEN VELD VERSP.BEW.
23099A211;1526;PRINSENPUT - STOKKEL
23099A222;908;BOSDAL
23099A233;418;GOUVERNEMENTSWEG
23099A31-;520;VIER ARMEN
23099ZZZZ;21;Non localisable dans un secteur
23100A00-;828;LINKEBEEK - CENTRUM
23100A011;1207;KOEKOEKSBEEK-NOORD
23100A022;671;WIJNBRON
23100A10-;369;T HOLLEKEN-KERN
23100A112;830;T HOLLEKEN-STATION
23100A191;248;T HOLLEKEN-VERSPR. BEWONING
23100A21-;490;DE PUT
23100ZZZZ;3;Non localisable dans un secteur
23101A00-;742;SINT-GENESIUS-RODE-CENTRUM
23101A01-;1215;TERMEULEN
23101A02K;1124;KLEIN LUIK NOORD
23101A02L;1014;KLEIN LUIK ZUID
23101A03K;1810;WAUTERBOS WEST
23101A03L;482;WAUTERBOS OOST
23101A04-;735;BOESDAAL
23101A05K;478;LEEFKERN - BOSSTRAAT25
23101A09K;41;ST-GENESIUS-RODE-VERSPREIDE BEWONING
23101A10-;1058;SINT-GENESIUS-RODE - DE HOEK
23101A11K;1773;GROTE HUT25
23101A122;452;MEZENLAAN
23101A19K;692;GOLF25
23101A21K;658;TERKLUIZEN25
23101A29K;45;SINT-GERTRUDIS25
23101A31-;831;TEN BROEK
23101A32K;562;PANORAMA25
23101A391;18;ZEVENBRONNEN
23101A40K;2762;MIDDENHUT25
23101A41K;713;KLEINE HUT ZUID
23101A41L;1470;KLEINE HUT NOORD
23101A483;17;LINKEBEEKSVELD
23101A49K;2;ZONIENWOUD25
23101ZZZZ;6;Non localisable dans un secteur
23102A00K;1732;WEMMEL CENTRUM OOST
23102A00L;809;WEMMEL CENTRUM WEST
23102A011;939;VIJVERS - DIJK
23102A022;546;OBBERG
23102A033;663;REEK
23102A04K;1122;WINDBERG
23102A052;787;WEMMEL PARK
23102A081;24;EZEL
23102A09K;8;MOTTE
23102A09L;0;HOLLAND
23102A09M;25;HAMSE HOEK
23102A10K;1412;SINT-ENGELBERTUS WEST
23102A10L;2084;SINT-ENGELBERTUS OOST
23102A11-;2145;DE LIMBURGSE STRIRUM
23102A122;2048;WINKEL
23102A132;323;DOREKENSVELD
23102A143;121;LAEKENVELD
23102A191;548;RING - EMPERBLOK
23102A21-;578;ROMEINSE STEENWEG
23102A313;1240;BOUCHOUT
23102A324;1131;NEERHOF
23102ZZZZ;7;Non localisable dans un secteur
23103A00K;903;OPPEM - KERN - NOORD
23103A00L;869;OPPEM - KERN - ZUID
23103A01K;368;LANGE DELLE
23103A02-;266;VOSBERG - SOCIALE WONINGEN
23103A03-;2423;DE GRUNNE
23103A04-;1188;BAN - EIK - SOCIALE WONINGEN
23103A091;125;VURENVELD
23103A112;506;GRENSSTRAAT
23103A123;502;ALBERTSEKTOR
23103A20K;842;SCHONE LUCHT - PLATEAU - OOST
23103A20L;2286;SCHONE LUCHT - PLATEAU - WEST
23103A214;730;FUJI - ZIKKELENBERG
23103A30K;1258;WEZEMBEEK CENTRUM
23103A31-;1327;VUILBEEK
23103A32K;318;WEZEMBEEK SINT-ROCHUS
23103A330;361;WARANDEBERG - SOCIALE WONINGEN
23103A342;210;WARANDEPARK
23103A391;276;LANGE EIK
23103ZZZZ;2;Non localisable dans un secteur
23104A00K;702;SINT-KWINTENS-LENNIK - BINNENKERN
23104A00L;816;SINT-KWINTENS-LENNIK - BUITENKERN
23104A012;447;BREUGHELHOF
23104A023;514;SAFELBERG
23104A034;406;SINT-ELOOI
23104A091;1112;ST-KWINTENS-LENNIK -VERSP.BEW.
23104A10-;554;EIZERINGEN
23104A11-;177;T NELLEKEN
23104A19K;1091;EIZERINGEN - 'T WELLEKEN - VERSPREIDE BEWONING ZUID
23104A19L;447;EIZERINGEN - 'T WELLEKEN - VERSPREIDE BEWONING NOORD
23104B00K;652;SINT-MARTENS-LENNIK-KERN
23104B01K;730;OLMEN PARK
23104B091;592;SINT-MARTENS-LENNIK- VERSPREIDE BEWONING
23104B19-;389;SINT-GERTRUDIS-PEDE
23104B29-;566;GOUDVEERDEGEM
23104C00K;114;GAASBEEK-CENTRUM
23104C091;169;GAASBEEK-VERSPREIDE BEWONING
23104ZZZZ;3;Non localisable dans un secteur
23105A00K;936;HEKELGEM-KERN-NOORDWEST
23105A00L;813;HEKELGEM-KERN-NOORDOOST
23105A012;1323;BOEKHOUT - MORITS
23105A09-;270;HEKELGEM VERSPREIDE BEW.-NOORD
23105A10-;859;HEKELGEM-KERN-ZUID
23105A112;231;OUDE BAAN
23105A191;468;HEKELGEM VERSPREIDE BEW.-ZUID
23105A21K;429;BLAKMEERS
23105A39-;167;AUTOSTRADE-ZUID-VERSPR.BEW.(H)
23105B00-;1146;ESSENE-KERN
23105B012;274;KOUDENBERG
23105B091;1519;ESSENE-VERSPREIDE BEWONING
23105B19-;214;AUTOSTRADE-ZUID-VERSPR.BEW.(E)
23105B29-;398;OUDE STWG.AALST-BRUSSEL-NOORD
23105C00K;824;TERALFENE-CENTRUM-NOORDOOST
23105C00L;1053;TERALFENE-CENTRUM-ZUIDOOST
23105C01K;747;TERALFENE CENTRUM-NOORDWEST
23105C01L;1270;TERALFENE CENTRUM-ZUIDWEST
23105C02-;306;NIEUWE WIJK
23105C032;513;TERELST
23105ZZZZ;10;Non localisable dans un secteur
23023A00-;918;GALMAARDEN-KERN
23023A012;444;SINT-PAULUS
23023A023;253;AVONDVREDE
23023A081;1475;GALMAARDEN VERSPREIDE BEWONING
23023A09-;662;RODE
23023B00K;1008;VOLLEZELE-CENTRUM
23023B08K;303;UITGEBREIDE RIJKSWEG -RECHTS
23023B091;683;MOLENBOS - VOGELZANG - KAPELLE
23023C00-;647;TOLLEMBEEK-KERN
23023C09K;952;TOLLEMBEEK-UITBREIDING KERN
23023C09L;855;TOLLEMBEEK-VERSPREIDE BEWONING NOORDWEST
23023C19-;718;HERHOUT
23024A00K;831;GOOIK-KERN
23024A012;186;MOLENWIJK
23024A08-;464;KWAKENBEEK
23024A091;1232;STUIVENBERG - OPLOMBEEK - BERGENBROEK - TERLO
23024A10K;358;STRIJLAND
23024A18-;69;WOESTIJN
23024A191;985;LETTERBEEK -HOEVE -ZWARTSCHAAP
23024B00K;1135;LEERBEEK-KERN
23024B09K;201;LEERBEEK-VERSPREIDE BEWONING
23024C00K;679;OETINGEN-KERN
23024C01-;181;OUDE PLAATS
23024C022;181;KLEINE HAARDING
23024C03K;471;KASTEELWIJK
23024C091;628;OETINGEN-VERSPREIDE BEWONING
23024D000;642;KESTER-KERN
23024D012;70;NIEUWE JOEN
23024D081;432;BN ASSE-EDINGEN-O. -VERSP.BEW.
23024D09-;724;BN ASSE-EDINGEN-W. -VERSP.BEW.
23024ZZZZ;3;Non localisable dans un secteur
23032A001;805;HERNE - CENTRUM
