CD_STAT_SECTOR,CD_YEAR,MS_P25
11001A00-,2013,190000.0
11001A00-,2013,190000.0
11001A01-,2013,240000.0
11001A01-,2013,255000.0
11002A00-,2013,100000.0
11002A04-,2013,164000.0
11002A05-,2013,129700.0
11002A10-,2013,139000.0
11002A11-,2013,109900.0
11002A12-,2013,91500.0
11002A13-,2013,109430.0
11002A14-,2013,116000.0
11002A22-,2013,198000.0
11002B71-,2013,133750.0
11002B721,2013,150000.0
11002B813,2013,135000.0
11002C21-,2013,83250.0
11002C22-,2013,60000.0
11002C23-,2013,69000.0
11002C24-,2013,102500.0
11002C25-,2013,115000.0
11002C31-,2013,160000.0
11002C42-,2013,111000.0
11002C42-,2013,111000.0
11002D30-,2013,88000.0
11002D31-,2013,95000.0
11002D32-,2013,94500.0
11002D33-,2013,160500.0
11002D34-,2013,245000.0
11002D34-,2013,245000.0
11002D34-,2013,108000.0
11002D41-,2013,49900.0
11002D42-,2013,67250.0
11002E122,2013,192000.0
11002E131,2013,218000.0
11002E14-,2013,150000.0
11002E15-,2013,130000.0
11002E50-,2013,230000.0
11002E50-,2013,230000.0
11002E50-,2013,143000.0
11002E521,2013,187500.0
11002E521,2013,187500.0
11002E53-,2013,98000.0
11002E551,2013,269000.0
11002E551,2013,269000.0
11002E551,2013,82500.0
11002F21-,2013,129000.0
11002F61-,2013,140000.0
11002F61-,2013,140000.0
11002F65-,2013,98000.0
11002G51-,2013,152500.0
11002G53-,2013,120000.0
11002G54-,2013,135500.0
11002G72-,2013,110000.0
11002G73-,2013,98000.0
11002H40-,2013,120000.0
11002H40-,2013,120000.0
11002H43-,2013,110000.0
11002H83-,2013,130000.0
11002H83-,2013,130000.0
11002J85-,2013,137500.0
11002L000,2013,162500.0
11002L000,2013,160000.0
11002L100,2013,170000.0
11002L100,2013,170000.0
11002L122,2013,189000.0
11002L122,2013,183050.0
11002P01-,2013,187500.0
11002P01-,2013,187500.0
11002P02-,2013,165000.0
11002P02-,2013,165000.0
11002P03-,2013,192000.0
11002P03-,2013,192000.0
11002P04-,2013,215000.0
11002P04-,2013,215000.0
11002P04-,2013,148750.0
11002P05-,2013,210000.0
11002P100,2013,260000.0
11002P100,2013,260000.0
11002P21-,2013,290000.0
11002P23-,2013,200000.0
11002P23-,2013,200000.0
11002Q001,2013,132500.0
11002Q001,2013,132500.0
11002Q001,2013,93900.0
11002Q012,2013,155000.0
11002Q012,2013,155000.0
11002Q03-,2013,120000.0
11002Q04-,2013,183000.0
11002Q04-,2013,183000.0
11002Q04-,2013,125000.0
11002Q10-,2013,135000.0
11002Q10-,2013,135000.0
11002Q10-,2013,98000.0
11002Q12-,2013,170000.0
11002Q12-,2013,170000.0
11002Q13-,2013,161250.0
11002Q13-,2013,161250.0
11002Q13-,2013,102500.0
11002Q14-,2013,195000.0
11002Q14-,2013,195000.0
11002Q201,2013,200000.0
11002Q201,2013,200000.0
11002Q201,2013,125000.0
11002Q212,2013,110000.0
11002R01-,2013,180000.0
11002R01-,2013,180000.0
11002R01-,2013,127000.0
11002R03-,2013,146000.0
11002R03-,2013,146000.0
11002R03-,2013,100000.0
11002R05-,2013,190000.0
11002R05-,2013,190000.0
11002R101,2013,135000.0
11002R101,2013,135000.0
11002R101,2013,85000.0
11002R110,2013,110000.0
11002R12-,2013,130000.0
11002R12-,2013,130000.0
11002R13-,2013,135000.0
11002R13-,2013,135000.0
11002R13-,2013,90000.0
11002R19-,2013,96250.0
11002R20-,2013,110000.0
11002R21-,2013,120000.0
11002R22-,2013,98000.0
11002R23-,2013,132500.0
11002R24-,2013,167500.0
11002R24-,2013,167500.0
11002R24-,2013,110000.0
11002R31-,2013,184000.0
11002R31-,2013,184000.0
11002R31-,2013,114750.0
11002R33-,2013,207500.0
11002R33-,2013,207500.0
11002R33-,2013,90000.0
11002R35-,2013,112000.0
11002R401,2013,217000.0
11002R401,2013,217000.0
11002R401,2013,120000.0
11002R41-,2013,220000.0
