CD_YEAR;CD_SECTOR;MS_AVG_TOT_NET_TAXABLE_INC;TX_SECTOR_DESCR_FR
2013;11001A00-;34348.0;AARTSELAAR-CENTRUM
2013;11001A01-;41361.0;DE LEEUWERIK
2013;11001A020;45128.0;BUERSTEDE
2013;11001A030;38396.0;YSSELAAR
2013;11001A042;54900.0;KLEINE GRIPPE
2013;11001A052;35859.0;LEUG
2013;11001A063;37460.0;TEN DORPE
2013;11001A074;;BRUINEN BAARD
2013;11001A091;48159.0;KLEISTRAAT - OEVER
2013;11001A0MA;;CLEYDAEL-KASTEEL
2013;11001A0PA;73295.0;ZINKVAL
2013;11001A10-;39419.0;'T HEIKEN
2013;11001A173;24477.0;NOTELAAN
2013;11001A190;41799.0;DE REUKENS
2013;11001A20-;43729.0;DE KOEKOEK
2013;11001A21-;34875.0;VIERPALEN
2013;11001ZZZZ;30300.0;NON LOCALISABLE DANS UN SECTEUR
2013;11002A00-;28517.0;ANTWERPEN KERN - OUDE STAD (SPAANSE WALLEN )
2013;11002A01-;24818.0;KLAPDORP - BROUWERSVLIET
2013;11002A02-;;GROENPLAATS (SPAANSE WALLEN)
2013;11002A03-;27105.0;HOOGSTRAAT (SPAANSE WALLEN)
2013;11002A04-;28572.0;OUDAAN (SPAANSE WALLEN)
2013;11002A05-;21887.0;GEVANGENIS (SPAANSE WALLEN)
2013;11002A081;;SCHELDEKADEN NOORD
2013;11002A10-;29697.0;MEIR - LEYSSTRAAT (SP. WALLEN)
2013;11002A11-;27223.0;KIPDORP-ST.-JACOBS (SP.WALLEN)
2013;11002A12-;22806.0;K.N.S.-NAT. BANK (SP. WALLEN)
2013;11002A13-;22687.0;STADSWAAG-BEGIJNHOF(SP.WALLEN)
2013;11002A14-;31028.0;TABAKSVEST (SPAANSE WALLEN)
2013;11002A15-;26279.0;HESSENHUIS (SPAANSE WALLEN)
2013;11002A21-;22316.0;ST.-ANDRIES (SPAANSE WALLEN)
2013;11002A22-;27761.0;ST.-MICHIELSKAAI (SP. WALLEN)
2013;11002B701;19334.0;LINKEROEVER-ZUID (LINKEROEVER)
2013;11002B71-;30153.0;LINKEROEVER - STATION
2013;11002B721;28283.0;LINKEROEVER-NOORD
2013;11002B73-;26903.0;ST.-ANNA (LINKEROEVER)
2013;11002B742;32023.0;THOENETLAAN (LINKEROEVER)
2013;11002B752;29031.0;GLORIANTLAAN (LINKEROEVER)
2013;11002B782;5774.0;GALGEWEEL (LINKEROEVER)
2013;11002B791;33992.0;ST.-ANNABOS (LINKEROEVER )
2013;11002B813;35279.0;BLANCEFLOERLAAN  (LINKEROEVER)
2013;11002B824;18821.0;CHARLES DE COSTERLAAN(L.OEVER)
2013;11002C20-;17418.0;STATIEKWARTIER (STATIONSWIJK)
2013;11002C21-;21579.0;ATHENEUM (STATIONSWIJK)
2013;11002C22-;16535.0;DE CONINCPLEIN-Z.(STATIONSW.)
2013;11002C23-;20657.0;OFFERANDESTRAAT(STATIONSWIJK )
2013;11002C24-;20521.0;PROVINCIESTRAAT(STATIONSWIJK )
2013;11002C25-;23636.0;PELIKAANSTRAAT (STATIONSWIJK )
2013;11002C31-;30988.0;JEZUITENCOLLEGE(STATIONSWIJK )
