zone_police;coups_blessures
ZP BRUXELLES CAPITALE IXELLES;3866
ZP MIDI;2226
ZP BRUXELLES-OUEST;1596
ZP POLBRUNO;1323
ZP UCCLE-W-B-AUDERGHEM;794
ZP MONTGOMERY;776
