CD_STAT_SECTOR,total_sales_2013_2024
11013A01-,341
11013A02-,1006
11013A03-,185
11013A040,476
11013A050,283
11013A090,23
11013A101,1067
11013A11-,225
11013A12-,120
11013A132,369
11013A142,696
11013A181,12
11013A19-,22
11013A20-,354
11013A21-,139
11013_UNKNOWN,16
11016A000,223
11016A010,233
11016A021,115
11016A042,529
11016A052,172
11016A091,140
11016A101,183
11016A112,365
11016A180,37
11016A191,28
11016A1AJ,218
11016A200,273
11016A262,140
11016A273,4
11016A281,48
11016A291,76
11016A300,80
11016A391,18
11016A3AJ,266
11016A401,219
11016A412,114
11016A501,891
11016A592,59
11016A60-,22
11016A691,28
11016_UNKNOWN,71
11018A000,216
11018A010,379
11018A021,808
11018A030,278
11018A042,30
11018A054,207
11018A070,6
11018A090,4
11018A101,535
11018A111,317
11018A122,360
11018A132,68
11018A143,167
11018A170,25
11018A1MJ,22
11018_UNKNOWN,22
11021A00-,563
11021A01-,116
11021A02-,265
11021A03-,160
11021A04-,290
11021A052,76
11021A062,341
11021A081,11
11021A091,2
11021A19-,14
11021_UNKNOWN,17
11022A001,313
11022A012,96
11022A02-,249
11022A032,320
11022A080,4
11022A091,4
11022A10-,430
11022A11-,118
11022A120,136
11022A132,44
11022A181,15
11022A19-,60
11022A201,183
11022A21-,598
11022A22-,276
11022A232,199
11022A28-,8
11022A2AA,108
11022A2MA,7
11022A30-,166
11022A31-,98
11022A322,89
11022A382,10
11022A39-,28
11022A401,194
11022A412,60
11022A423,70
11022A48-,16
11022A49-,40
11022A50-,20
11022A582,6
11022A682,12
11022A692,2
11022_UNKNOWN,79
11023A00-,802
11023A01-,407
11023A02-,575
11023A03-,897
11023A04-,266
11023A050,291
11023A062,271
11023A08-,73
11023A091,6
11023A10-,516
11023A11-,131
11023A122,204
11023A133,91
11023A191,40
11023A200,599
11023A212,154
11023A280,56
11023A291,57
11023B30-,396
11023B31-,320
11023B32-,505
11023B330,531
11023B391,36
11023B40-,446
11023B49-,94
11023_UNKNOWN,83
11024A00-,826
11024A01-,594
11024A02-,408
11024A03-,210
11024A04-,466
11024A05-,52
11024A09-,22
11024A10-,223
11024A111,71
11024A132,90
11024A142,2
11024A191,58
11024A1MA,9
11024A1PA,61
11024A200,450
11024A210,288
11024A220,302
11024A280,30
11024A291,40
11024A30-,66
11024A412,154
11024A423,130
11024A434,22
11024B00-,213
11024B012,30
11024B08-,17
11024B091,12
11024B190,22
11024_UNKNOWN,62
11025A000,454
11025A01-,426
11025A02-,411
11025A042,183
11025A053,76
11025A08-,18
11025A091,50
11025A184,37
11025A19-,5
11025_UNKNOWN,26
11029A00-,1146
11029A01-,387
11029A02-,616
11029A041,63
11029A07-,55
11029A10-,466
11029A11-,854
11029A12-,342
11029A13-,359
11029A14-,242
11029A172,85
11029A201,741
11029A211,291
11029A22-,60
11029A232,29
11029A242,370
11029A27-,17
11029A301,183
11029A372,4
11029_UNKNOWN,30
11030A00-,1406
11030A01-,547
11030A02-,416
11030A03-,429
11030A091,2
11030A10-,631
11030A17-,102
11030_UNKNOWN,23
11035A000,307
11035A01-,345
11035A022,125
11035A08-,76
11035A091,26
11035A10-,111
11035A20-,73
11035A29-,24
11035A30-,34
11035A39-,8
11035B00-,390
11035B010,99
11035B02-,163
11035B032,179
11035B043,133
11035B080,16
11035B091,4
11035B19-,30
11035B2MA,52
11035B2PA,26
11035C00-,257
11035C01-,229
11035C022,58
11035C081,8
11035C09-,136
11035C19-,4
11035C29-,18
11035C39-,42
11035D001,188
11035D012,44
11035D082,34
11035D0AA,74
11035D0PA,48
