CD_STAT_SECTOR,MS_P50 (MEDIAN_PRICE),CD_YEAR
11001A00-,266000.0,2013
11001A00-,,2013
11001A01-,274500.0,2013
11001A01-,,2013
11001A01-,326500.0,2013
11001A020,,2013
11001A030,,2013
11001A042,,2013
11001A052,,2013
11001A063,,2013
11001A10-,,2013
11001A190,,2013
11001A20-,,2013
11001A21-,,2013
11001_UNKNOWN,,2013
11002A00-,,2013
11002A00-,182000.0,2013
11002A01-,,2013
11002A02-,,2013
11002A03-,,2013
11002A04-,,2013
11002A04-,190000.0,2013
11002A05-,,2013
11002A05-,152000.0,2013
11002A10-,,2013
11002A10-,219250.0,2013
11002A11-,,2013
11002A11-,167000.0,2013
11002A12-,,2013
11002A12-,163718.0,2013
11002A13-,,2013
11002A13-,140000.0,2013
11002A14-,229000.0,2013
11002A15-,,2013
11002A21-,,2013
11002A22-,,2013
11002A22-,255000.0,2013
11002B701,,2013
11002B71-,,2013
11002B71-,152500.0,2013
11002B721,,2013
11002B721,174500.0,2013
11002B742,,2013
11002B752,,2013
11002B791,,2013
11002B813,,2013
11002B813,170750.0,2013
11002B824,,2013
11002C20-,,2013
11002C21-,,2013
11002C21-,141000.0,2013
11002C22-,,2013
11002C22-,86500.0,2013
11002C23-,,2013
11002C23-,109500.0,2013
11002C24-,,2013
11002C24-,133500.0,2013
11002C25-,,2013
11002C25-,165000.0,2013
11002C31-,240000.0,2013
11002C41-,,2013
11002C42-,148000.0,2013
11002C42-,,2013
11002C43-,,2013
11002C44-,,2013
11002C45-,,2013
11002D30-,,2013
11002D30-,127500.0,2013
11002D31-,,2013
11002D31-,145000.0,2013
11002D32-,,2013
11002D32-,137500.0,2013
11002D33-,,2013
11002D33-,202500.0,2013
11002D34-,274000.0,2013
11002D34-,133500.0,2013
11002D35-,,2013
11002D41-,,2013
11002D41-,77000.0,2013
11002D42-,,2013
11002D42-,151500.0,2013
11002E122,,2013
11002E122,220000.0,2013
11002E131,,2013
11002E131,275000.0,2013
11002E14-,,2013
11002E14-,192000.0,2013
11002E15-,,2013
11002E15-,156000.0,2013
11002E50-,308000.0,2013
11002E50-,173900.0,2013
11002E521,263750.0,2013
11002E521,,2013
11002E53-,,2013
11002E53-,127500.0,2013
11002E551,390000.0,2013
11002E551,127000.0,2013
11002F11-,,2013
11002F12-,,2013
11002F21-,,2013
11002F21-,150000.0,2013
11002F60-,,2013
11002F61-,170000.0,2013
11002F61-,,2013
11002F62-,,2013
11002F64-,,2013
11002F65-,,2013
11002F65-,123000.0,2013
11002G51-,,2013
11002G51-,199000.0,2013
11002G522,,2013
11002G53-,,2013
11002G53-,154000.0,2013
11002G54-,,2013
11002G54-,190000.0,2013
11002G552,,2013
11002G59-,,2013
11002G72-,,2013
11002G72-,137500.0,2013
11002G73-,119000.0,2013
11002G74-,,2013
11002G780,,2013
11002H40-,149000.0,2013
11002H40-,,2013
11002H41-,,2013
11002H43-,,2013
11002H43-,136750.0,2013
11002H44-,,2013
11002H83-,190000.0,2013
11002H83-,,2013
11002H84-,,2013
11002J072,,2013
11002J80-,,2013
11002J81-,,2013
11002J820,,2013
11002J83-,,2013
11002J84-,,2013
11002J85-,,2013
11002J85-,222500.0,2013
11002J901,,2013
11002J912,,2013
11002J923,,2013
11002J932,,2013
11002J94-,,2013
11002K214,,2013
11002L000,185000.0,2013
11002L000,,2013
11002L000,180000.0,2013
11002L011,,2013
11002L022,,2013
11002L100,220000.0,2013
11002L100,,2013
11002L100,222500.0,2013
11002L111,,2013
11002L122,219000.0,2013
11002L122,,2013
11002L122,215500.0,2013
11002L18-,,2013
11002P00-,,2013
11002P01-,220000.0,2013
11002P01-,,2013
11002P02-,205000.0,2013
11002P02-,,2013
11002P03-,227250.0,2013
11002P03-,,2013
11002P03-,240000.0,2013
11002P04-,240000.0,2013
11002P04-,155000.0,2013
11002P05-,,2013
11002P05-,223000.0,2013
11002P100,305000.0,2013
11002P100,,2013
11002P100,308000.0,2013
11002P111,,2013
11002P12-,,2013
11002P20-,,2013
11002P21-,,2013
11002P21-,310000.0,2013
11002P22-,,2013
11002P23-,230000.0,2013
11002P23-,,2013
