zone_police;drogues;year
ZP BRUXELLES CAPITALE IXELLES;2781;2000
ZP MIDI;997;2000
ZP POLBRUNO;625;2000
ZP BRUXELLES-OUEST;615;2000
ZP UCCLE-W-B-AUDERGHEM;506;2000
ZP MONTGOMERY;265;2000
